'2012-07-01', ' EUR_USD', 'sell', ' 1.2669899999999998', ' 1.2654999999999998', ' 1.2681', ' 1.26508', ' 1.2663780025773195', 0.01849999999999996, 0.01692999999999989, 0.015214999999999756, 0.010499999999999954, -0.0026000000000001577, -0.0024250000000001215, 0.01483560545308738, 0.013559512081821516, 0.012169225416604819, 0.008366533864541796, -0.00205031148963028, -0.0019125736932390494, 333.16892332659205, 210.15426537221143, 240.19999774777145, 261.75762921189056, 251.02255783094688, 274.79715963510347, 73.66493489451156, 240.78924475890986, 16.239162021252316, 100.70882529177925, 53.201031852570964, 47.70170958944495, -0.003896257231689567, 0.0013213802489257561, 0.0022730332718212823, 0.00638183661703012, 1.2660449999999999, 0.019339999999999913, -1680, 43807, -18207, -6954, -341, 0.1948353846153846, 0.09380962962962962, 0.10102575498575499, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -14.899999999999913, -75.44999999999914, ' 2328.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-02', ' EUR_USD', 'buy', ' 1.26552', ' 1.257975', ' 1.26676', ' 1.25684', ' 1.2610435386391217', 0.01385499999999995, 0.010975000000000179, 0.009405000000000108, 0.0009950000000000792, 0.002975000000000172, -0.01012499999999994, 0.011136385557663208, 0.008801122694466864, 0.0075326173142075395, 0.0007915798182947057, 0.0023705179282869897, -0.007984386089425076, 147.45055716867287, -10.449238792996178, 213.44131358291787, 139.1169026318746, 155.4599610364756, 172.11727726268876, 94.27751916114252, 134.73857182108725, 28.78002517133831, 94.97098368982508, -55.22264745823823, 22.6116322914142, -0.0013297344500457213, -0.009819355346530594, -0.004632743327820944, -0.0036867490872227616, 1.2598875, 0.02334499999999995, -26055, -1680, 43807, -18207, -6954, 0.1946923076923077, 0.09374074074074072, 0.10095156695156697, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -75.44999999999914, 25.34999999999954, ' 33787.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-03', ' EUR_USD', 'sell', ' 1.257955', ' 1.2604899999999999', ' 1.26273', ' 1.2559399999999998', ' 1.2593879985700143', -0.005940000000000056, 0.016369999999999774, 0.013490000000000002, 0.006689999999999863, 0.003509999999999902, 0.005489999999999995, -0.004690350039086295, 0.013157894736841922, 0.010817963111467524, 0.005335779231137233, 0.0027924071982051444, 0.004374501992031869, 66.12815790788952, -16.35319354000711, 168.99212854707437, 27.712854665146903, 253.45658780289503, 162.85895808595296, 253.6403780884071, 206.6364453116163, 133.69696399742725, 189.94152858746398, 43.78142689277034, 143.70625632620155, -0.0058639115089615555, 0.0006668519033062594, -0.00783974182376321, -0.0026427604978518635, 1.2599125, -0.005135000000000112, 9278, -26055, -1680, 43807, -18207, 0.19353461538461542, 0.09318333333333333, 0.10035128205128209, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 25.34999999999954, -88.79999999999998, ' 27273.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-04', ' EUR_USD', 'sell', ' 1.2604600000000001', ' 1.2515800000000001', ' 1.26071', ' 1.250835', ' 1.2562373966250162', -0.01391999999999971, -0.014849999999999808, 0.007460000000000022, 0.0012950000000000461, -0.0022199999999998887, -0.005399999999999849, -0.010999604899249081, -0.011725875097715475, 0.0059962061537472446, 0.0010357638458431846, -0.0017706173233369665, -0.004296011074161761, -447.00506605740685, -188.07995200142457, 31.872234247466075, -156.05216361521113, 92.67586573134255, -107.48565535953274, 60.6010861684546, 85.2462753421484, -71.53023612277457, 24.171952098537076, -5.956019498124196, -5.628389817481387, -0.013027363772573037, -0.012891141037521803, -0.006406541499622927, -0.014853004840804221, 1.25367625, -0.005525000000000002, -19774, 9278, -26055, -1680, 43807, 0.19392153846153845, 0.09336962962962962, 0.10055190883190883, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -88.79999999999998, -123.40000000000018, ' 23289.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-05', ' EUR_USD', 'sell', ' 1.25161', ' 1.2392699999999999', ' 1.25387', ' 1.2364199999999999', ' 1.2437977326236405', -0.018705000000000194, -0.026229999999999976, -0.027160000000000073, -0.009300000000000086, -0.011015000000000219, -0.014530000000000154, -0.014869134919215559, -0.020726985381272208, -0.021446112299929782, -0.00744852110814779, -0.008809991321978763, -0.011588770138778237, -177.1151500488888, -179.91079087259234, -854.6074633290261, -425.7423659493163, -15.455534580798057, -349.05938265290433, -55.179558788753816, -50.70302615390734, -107.79606298135712, -82.38097937382686, -520.7839129959333, -227.91984492201473, -0.012533864541832689, -0.022734800094629866, -0.022599917187530884, -0.01617909736831682, 1.2422075, 0.003595000000000237, -29285, -19774, 9278, -26055, -1680, 0.19255076923076928, 0.09270962962962963, 0.09984113960113965, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -123.40000000000018, -106.39999999999984, ' 43493.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-06', ' EUR_USD', 'buy', ' 1.23929', ' 1.22865', ' 1.2401499999999999', ' 1.2260499999999999', ' 1.2335040344639734', -0.03183999999999987, -0.029325000000000045, -0.03684999999999983, -0.018349999999999866, -0.019919999999999938, -0.02163500000000007, -0.025260017929535236, -0.02331127407142435, -0.029118925325957987, -0.014715316760224433, -0.015954251663903456, -0.017304054675534034, -401.9086611390041, -223.69719315054206, -284.1705224745669, -303.5783788215595, -1206.2514486275186, -630.7768774136965, -253.1383748866307, -137.71640798080875, -174.77280661253792, -177.21206770879607, -253.07451334455266, -226.99523161457375, -0.02253814698722332, -0.020996015936254882, -0.03110953394842677, -0.030975806928643216, 1.230875, 0.005450000000000177, -22014, -29285, -19774, 9278, -26055, 0.19065692307692306, 0.09179777777777777, 0.09885914529914529, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -106.39999999999984, 22.899999999999032, ' 34877.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-08', ' EUR_USD', 'buy', ' 1.22478', ' 1.2270699999999999', ' 1.22811', ' 1.2230400000000001', ' 1.2267087984189722', -0.024510000000000254, -0.033420000000000005, -0.030905000000000182, -0.01705000000000023, -0.019930000000000003, -0.021500000000000075, -0.01958324677607524, -0.026513498718752238, -0.024567260875613728, -0.01370446580715705, -0.015982357658380117, -0.017219699336040492, -240.65579082743312, -95.66771813792866, -425.1778324325067, -239.80499269819396, -300.0977812723624, -321.9771348441007, -117.25809629039237, -479.3953613870328, -278.2771952713519, -152.63189411100745, -192.56539903830046, -196.03356353334823, -0.021319189663423308, -0.02379512800521894, -0.022254980079681286, -0.03235549246904828, 1.2263225, 0.006629999999999914, 2238, -22014, -29285, -19774, 9278, 0.18902307692307693, 0.09101111111111111, 0.09801196581196582, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 22.899999999999032, 47.0999999999977, ' 3795.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-09', ' EUR_USD', 'sell', ' 1.2270400000000001', ' 1.23175', ' 1.23243', ' 1.22695', ' 1.229612564715611', -0.007519999999999971, -0.019830000000000236, -0.028739999999999988, -0.034680000000000044, -0.012370000000000214, -0.015249999999999986, -0.006068088471438808, -0.01584397321785282, -0.022800656887400923, -0.027384063864564205, -0.009942770793814273, -0.01222935044105853, -26.762024286393213, 61.8182347757756, -193.26386568237152, -59.86688158591252, -356.25395796821357, -192.09328264565943, -44.367380363782395, -466.96468624050914, -77.17278652859258, -408.38200258618866, -203.81537286598132, -108.45184658611878, -0.014824619986643197, -0.01758653692773977, -0.020071918407611963, -0.018525896414342626, 1.2307199999999998, 0.003349999999999742, 20910, 2238, -22014, -29285, -19774, 0.18878, 0.09089407407407406, 0.09788592592592595, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 47.0999999999977, -62.40000000000023, ' 27814.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-10', ' EUR_USD', 'sell', ' 1.23177', ' 1.22553', ' 1.2333850000000002', ' 1.22356', ' 1.2281131975799766', -0.0031200000000000117, -0.013739999999999863, -0.02605000000000013, -0.03996999999999984, -0.040899999999999936, -0.018590000000000106, -0.00253937248199244, -0.011087172286910734, -0.020813691493951746, -0.03158435401027249, -0.03229550784488676, -0.014942288525222731, -3.687917106969836, 6.503868115718453, -62.40651916034709, -5.660992966537866, -256.250569614482, -107.44833529393298, -1309.5592861163432, -691.0130050755494, -68.28116770023986, -564.4874240483406, -130.4485614684194, -502.76300509500084, -0.0184531103582498, -0.01979948571725653, -0.02254745573456693, -0.025020286718961303, 1.22700125, 0.0012900000000000134, -18068, 20910, 2238, -22014, -29285, 0.1895, 0.09124074074074073, 0.09825925925925927, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -62.40000000000023, -10.60000000000283, ' 30165.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-11', ' EUR_USD', 'sell', ' 1.2255500000000001', ' 1.2244899999999999', ' 1.2296900000000002', ' 1.22129', ' 1.2258352545725775', -0.0025800000000000267, -0.004160000000000164, -0.014780000000000015, -0.03348500000000021, -0.04100999999999999, -0.04194000000000009, -0.0021025695355603403, -0.003385829975990041, -0.011926376011684312, -0.02661817603688484, -0.032406163571710785, -0.033116713912336324, 28.59904143902005, -2.275032613823093, -11.063751320912658, -9.118133891946968, -68.36637039329212, -16.943693425061575, -326.1055836130645, -352.0206731593873, -1343.9952319459562, -711.0917142961699, -72.2796144574617, -580.7934766721609, -0.01805132317562152, -0.019286063256365362, -0.02063129606449748, -0.0233769341202745, 1.22499, 0.005169999999999897, -7341, -18068, 20910, 2238, -22014, 0.18854307692307692, 0.09078, 0.09776307692307692, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -10.60000000000283, -56.100000000001145, ' 30836.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-12', ' EUR_USD', 'buy', ' 1.22446', ' 1.21885', ' 1.22451', ' 1.2167', ' 1.2202204581437386', -0.012899999999999912, -0.008219999999999894, -0.009800000000000031, -0.0416399999999999, -0.039125000000000076, -0.04664999999999986, -0.010472904404302751, -0.0066988843342269755, -0.007976234078053172, -0.03303477219176662, -0.03110157197082619, -0.03686290003950997, -147.80752176055364, -74.93107946064038, -82.64136802035885, -92.7957777185112, -51.06346763498041, -93.8374524719643, -546.236432453122, -323.6063295853365, -382.9598491950625, -417.69724529047653, -1530.7440150988261, -819.9800989156702, -0.020311545510079514, -0.022574178027265357, -0.023803230896145167, -0.025142267562995715, 1.2197274999999999, 0.005349999999999966, -14420, -7341, -18068, 20910, 2238, 0.1883830769230769, 0.09070296296296294, 0.09768011396011396, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -56.100000000001145, 60.50000000000111, ' 32086.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
