'2013-01-02', ' EUR_USD', 'sell', ' 1.3207499999999999', ' 1.3183799999999999', ' 1.329955', ' 1.315645', ' 1.3247525165412906', -0.0032800000000001717, -0.006440000000000001, -0.0044200000000000905, -0.0004300000000001525, -0.005355000000000221, -0.0029000000000001247, -0.002481727524476924, -0.004861037725879744, -0.003341397036589122, -0.0003260515161396657, -0.004045371618942024, -0.002194841365948266, 19.713439279302683, -13.204100071807295, -21.876637700941348, -26.551949472064127, -5.534696564003539, -2.565964995214068, 31.651555465882453, 47.51259491888434, -21.226696778538386, 33.8242327582408, -4.021750969828706, 2.1343692391717872, 0.0017323911556871344, 0.0013557699976074083, 0.0015801868874875482, 0.008159301374157676, 1.32059, 0.005230000000000068, -51817, -7823, 1742, 5912, 7282, 0.20303769230769234, 0.0977588888888889, 0.10527880341880344, 51.95273166903867, 1.2999500000000002, 1.330281, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -23.699999999999832, -159.40000000000066, ' 83881.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-03', ' EUR_USD', 'buy', ' 1.3183850000000001', ' 1.302445', ' 1.318915', ' 1.302255', ' 1.3103949075184602', -0.020184999999999897, -0.019214999999999982, -0.02237499999999981, -0.015559999999999796, -0.016364999999999963, -0.02129000000000003, -0.015261259762745363, -0.01453853487281145, -0.016889086819341356, -0.011805721526094208, -0.012408914096799359, -0.016083279508360835, -655.8745599070595, -328.71192775319423, -155.78022268477096, -349.8911546545053, -216.0851177925837, -342.5799667948047, -747.5922319877862, -409.55548025404704, -169.29168610735596, -384.6858373564737, -194.24327640308007, -370.37573149940744, -0.015428750694520592, -0.010375351417065552, -0.010747420429213148, -0.010525716022183355, 1.306515, 0.0029250000000000664, -67624, -51817, -7823, 1742, 5912, 0.2028276923076923, 0.09765777777777776, 0.10516991452991453, -75.39526671824656, 1.3023060000000002, 1.329103, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -159.40000000000066, 44.09999999999803, ' 69203.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-04', ' EUR_USD', 'sell', ' 1.302475', ' 1.3068849999999999', ' 1.308965', ' 1.29975', ' 1.3034224486712152', -0.012860000000000316, -0.01574500000000012, -0.014775000000000205, -0.011960000000000193, -0.011120000000000019, -0.011925000000000185, -0.009744306665303005, -0.01190431186348421, -0.01117912322382474, -0.009068541034010965, -0.008436993789856654, -0.009042242627823709, -166.6371923281034, -66.6872492755624, -494.7188849769417, -240.85719414592802, -106.88208279644607, -256.0793867004971, -165.56184577667503, -168.33951119632613, -513.9203199831683, -285.6554739306389, -113.30248042269048, -264.26154872751124, -0.010894738435456646, -0.012072373767344312, -0.007001747587569482, -0.007375084972979624, 1.3056212499999997, -0.011840000000000073, 35214, -67624, -51817, -7823, 1742, 0.20037615384615387, 0.09647740740740741, 0.10389874643874646, -122.19569367321985, 1.3048766, 1.3278504, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 44.09999999999803, -18.249999999999655, ' 64194.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-06', ' EUR_USD', 'buy', ' 1.30862', ' 1.306795', ' 1.30875', ' 1.3065250000000002', ' 1.3073465141955836', -0.011584999999999956, -0.012950000000000239, -0.015835000000000043, -0.016005000000000047, -0.012050000000000116, -0.011209999999999942, -0.00878729956461715, -0.009812501657517353, -0.011972358104685395, -0.012099334744481438, -0.009136782563531056, -0.00850527881153709, -61.84443155533502, 13.952304491927366, -168.08411440330997, -67.55926972278328, -497.9855540633604, -242.63803334066847, -178.83053357466704, -149.92436847770392, -167.01343526716582, -169.63775979752748, -518.6569127940688, -288.1669605453006, -0.01279712329129333, -0.010962854201986014, -0.01214040843478702, -0.007070131448978131, 1.3072162500000002, -0.004985000000000239, -2400, 35214, -67624, -51817, -7823, 0.20105923076923077, 0.09680629629629628, 0.10425293447293449, -114.27259591362458, 1.3058851000000005, 1.3274079, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -18.249999999999655, 55.99999999999827, ' 3170.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-07', ' EUR_USD', 'sell', ' 1.3067950000000002', ' 1.312395', ' 1.3128350000000002', ' 1.3016649999999998', ' 1.3063807983322246', 0.009949999999999903, -0.005984999999999907, -0.00735000000000019, -0.012424999999999908, -0.010404999999999998, -0.006450000000000067, 0.007639478058574376, -0.004539662312838414, -0.0055692576975098895, -0.009378632568952695, -0.007865890535228301, -0.0048906429489440125, 60.86398040828065, 153.9642600847642, -22.711231927100194, 58.45772672132085, -78.05340750148933, -13.300219673436294, -94.81907594056953, -145.24838396698695, -95.0621531465507, -78.69372026864448, -76.69231141432695, -88.85784683381571, -0.004864233665198216, -0.0085666693107005, -0.006724539840155025, -0.00790714023834822, 1.3098225000000001, 0.00660499999999975, 54020, -2400, 35214, -67624, -51817, 0.20104538461538463, 0.09679962962962962, 0.104245754985755, -101.52089029356652, 1.3068813000000001, 1.3269977000000002, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 55.99999999999827, -40.9499999999996, ' 58641.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-08', ' EUR_USD', 'sell', ' 1.31237', ' 1.308275', ' 1.3140049999999999', ' 1.305625', ' 1.309856121849158', 0.0013900000000002244, 0.005830000000000002, -0.010104999999999809, -0.01338499999999998, -0.01654499999999981, -0.014524999999999899, 0.0010635977916956922, 0.00447619669160694, -0.007664709719504096, -0.010127415522903001, -0.012488489002279413, -0.01098049591775015, 92.51120443619864, 76.77839685683321, 36.13423688933496, 69.09786399014918, -51.50208593930059, 25.714451795410998, -91.5738813449177, -226.7103872734477, -145.03174854662896, -226.9575418816199, -156.69174731866286, -131.0991257367365, -0.007382369566124404, -0.007988262145418947, -0.011679074739279408, -0.009842728263502009, 1.309045, 0.006170000000000009, -22133, 54020, -2400, 35214, -67624, 0.2019069230769231, 0.09721444444444444, 0.10469247863247866, -101.03289282311003, 1.30697735, 1.3269581499999998, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -40.9499999999996, -29.15000000000001, ' 60222.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-09', ' EUR_USD', 'buy', ' 1.308255', ' 1.30534', ' 1.30962', ' 1.3036750000000001', ' 1.3064745955626478', -0.001454999999999984, -0.0015449999999999076, 0.00289499999999987, -0.017290000000000028, -0.016320000000000112, -0.019479999999999942, -0.0011134110552917513, -0.0011822004231435113, 0.0022227426110122653, -0.013072439004105478, -0.012348107682762672, -0.014703884301263525, -53.25603343671096, -7.918871790087924, 60.66130590009875, 13.435201533357985, 18.517295814550828, 8.640856092646205, -550.7967042938402, -271.42826698899665, -123.89731390623464, -288.7233464953037, -180.8021840075014, -285.1654007358588, -0.010240020624106776, -0.009609219995371739, -0.01021375330790644, -0.013896285888036623, 1.30599375, 0.008275000000000032, -25911, -22133, 54020, -2400, 35214, 0.20127307692307694, 0.09690925925925926, 0.10436381766381768, -124.81210985163277, 1.3050791000000002, 1.3277604, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -29.15000000000001, 219.45000000000104, ' 58909.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-10', ' EUR_USD', 'buy', ' 1.305345', ' 1.32729', ' 1.32797', ' 1.30389', ' 1.3167577008512732', 0.014895000000000103, 0.020495000000000152, 0.02040500000000023, 0.007544999999999913, 0.0046600000000001085, 0.005630000000000024, 0.01134947938692246, 0.015683408644814337, 0.015613462546436932, 0.005717013513974223, 0.0035232831555311074, 0.004259794500855003, 229.40707782382825, 295.05136307602544, 933.2164846524047, 473.7175656578135, 298.85731028420963, 487.1602909201476, 161.41219594540638, 131.01916434174623, 245.907589561179, 162.89862550640916, 117.84011189304283, 175.0532991332094, 0.0033943150892047965, 0.0064033301866406106, 0.007044738070037831, 0.006430039202007903, 1.3216100000000002, 0.0009849999999997916, 72930, -25911, -22133, 54020, -2400, 0.20082153846153847, 0.09669185185185185, 0.10412968660968662, 32.443625209848264, 1.3048652, 1.3290438, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 219.45000000000104, 70.00000000000117, ' 77296.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-11', ' EUR_USD', 'hold', ' 1.32727', ' 1.33427', ' 1.3366', ' 1.3248449999999998', ' 1.330485663978077', 0.02599499999999999, 0.02187500000000009, 0.027475000000000138, 0.015890000000000182, 0.014524999999999899, 0.011640000000000095, 0.019869675718025635, 0.016668000106675268, 0.021024720786351446, 0.012052670701922195, 0.011005914021269183, 0.00880064719536083, 341.8216966384722, 327.5364844352407, 291.89532770520594, 382.78083808097773, 1246.910251224704, 626.8757585227941, 130.15282912069137, 232.30703230488837, 273.62904133374593, 198.64919458182445, 499.25592537475484, 301.01259860973073, 0.007133044489062802, 0.008671000907166685, 0.011695839920536546, 0.012340620862591719, 1.33249625, -0.003009999999999957, 42728, 72930, -25911, -22133, 54020, 0.20419846153846155, 0.09831777777777778, 0.10588068376068377, 154.21723399863092, 1.3048544000000004, 1.3308716, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 70.00000000000117, 0.0, ' 70793.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-12', ' EUR_USD', 'hold', ' 1.33427', ' 1.33427', ' 1.33427', ' 1.33427', ' 1.33427', 0.028930000000000122, 0.02599499999999999, 0.02187500000000009, 0.03182499999999999, 0.015890000000000182, 0.014524999999999899, 0.022162808157261803, 0.019869675718025635, 0.016668000106675268, 0.024434812986344905, 0.012052670701922195, 0.011005914021269183, 514.6254898992551, 240.32190732530842, 341.8216966384722, 327.5364844352407, 291.89532770520594, 382.78083808097773, 192.16571329103607, 604.5595063395593, 130.15282912069137, 232.30703230488837, 273.62904133374593, 198.64919458182445, 0.009541031732820855, 0.007133044489062802, 0.008671000907166685, 0.011695839920536546, 1.33427, -0.0023299999999999432, 0, 42728, 72930, -25911, -22133, 0.20527230769230773, 0.09883481481481482, 0.1064374928774929, 160.31821926397487, 1.30464375, 1.33222375, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 0.0, 1.8999999999991246, ' 1.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-13', ' EUR_USD', 'buy', ' 1.335655', ' 1.335845', ' 1.33694', ' 1.335065', ' 1.3362935208832136', 0.008554999999999868, 0.030505000000000004, 0.027569999999999872, 0.028960000000000097, 0.033399999999999874, 0.017465000000000064, 0.006445464065878495, 0.023369390350406794, 0.02107355105004672, 0.022159562624102427, 0.02564407710114429, 0.013247318678984864, 132.70293728016006, 525075.4264474324, 541.117895409674, 255.79907927487542, 360.61622176346964, 344.8123514844346, 391.6940673459875, 671.794374733537, 201.61943805859372, 637.0023640699019, 141.1590415161315, 244.82418230690425, 0.009991456416382494, 0.010732714919116785, 0.008321885237239824, 0.00986165709101903, 1.33592375, -0.0010950000000000681, -1262, 0, 42728, 72930, -25911, 0.20527230769230773, 0.09883481481481482, 0.1064374928774929, 160.59369307697486, 1.3040729999999998, 1.334251, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 1.8999999999991246, 18.75000000000071, ' 7518.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
