'2014-01-01', ' EUR_USD', 'sell', ' 1.3752499999999999', ' 1.376425', ' 1.3773849999999999', ' 1.374235', ' 1.376349882774656', 0.0012849999999999806, 0.001454999999999984, 0.006970000000000143, 0.006680000000000019, 0.008645000000000014, 0.009050000000000002, 0.0009344503105138245, 0.0010582049062888529, 0.005089615942108462, 0.004876820138054907, 0.006320460892833653, 0.006618520888563856, 72.27436537167029, 40.14535654353362, 35.53168593262624, 49.10710051640092, 261.9481651739644, 123.25140549275365, 206.7826519762041, 295.0482803228194, 771.1991181796074, 410.5060911243086, 165.08399426207004, 381.0219214726272, 0.005949053011616758, -0.00037038785418339314, 0.0002470777604581163, 0.0018852336707099978, 1.3761174999999999, 0.00814999999999988, 2015, 2339, 42628, -2426, -36765, 0.2121223076923077, 0.10213296296296295, 0.10998934472934474, 47.983179658647394, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 11.750000000001481, -99.05000000000052, ' 5161.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-02', ' EUR_USD', 'sell', ' 1.376435', ' 1.36653', ' 1.3775650000000002', ' 1.36296', ' 1.3692485150435008', -0.01429999999999998, -0.008610000000000007, -0.008440000000000003, -0.0016499999999999293, -0.003214999999999968, -0.0012499999999999734, -0.010356090177646762, -0.0062611806797853355, -0.006138315745070804, -0.0012059816690785784, -0.0023471522071626238, -0.0009138896606179161, -69.39934618221042, -163.78034877833906, -319.5913033147352, -188.77897999339916, -13.538241813826218, -134.17629710359063, 23.692829434856797, 11.970583967331287, -17.081061514447267, 6.100767587460446, -7.873395795605131, -0.42054262506520007, 0.0007249879168680862, -0.0012826275227748247, -0.007556638476035541, -0.006943611768168377, 1.3683962500000002, 0.005759999999999987, -52051, 2015, 2339, 42628, -2426, 0.2117576923076923, 0.1019574074074074, 0.10980028490028491, -63.66591574819775, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -99.05000000000052, -76.49999999999935, ' 101838.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-03', ' EUR_USD', 'hold', ' 1.3665349999999998', ' 1.358885', ' 1.367205', ' 1.35825', ' 1.3627888481203665', -0.019910000000000094, -0.021945000000000103, -0.01625500000000013, -0.00804500000000008, -0.009295000000000053, -0.010860000000000092, -0.014440145199250139, -0.01589261531108109, -0.011820614628328847, -0.005885451339863841, -0.006793696735809655, -0.00792848303881386, -321.04659686846674, -278.74464245321707, -153.54811724692206, -320.6269440054835, -622.3515900360715, -365.64876805048675, -307.5028182539475, -186.80029276745327, -153.88725000580934, -220.94595011756405, -190.04094929979942, -217.1436725198521, -0.006208977054575452, -0.004873529885613075, -0.006869913797198738, -0.013108825035314029, 1.36080625, 0.004205000000000014, -58576, -52051, 2015, 2339, 42628, 0.21023538461538463, 0.10122444444444444, 0.1090109401709402, -163.12393573273368, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -76.49999999999935, 1.9999999999997797, ' 68258.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-05', ' EUR_USD', 'buy', ' 1.359365', ' 1.359565', ' 1.36007', ' 1.35891', ' 1.3598260606060606', -0.016860000000000097, -0.01923000000000008, -0.02126500000000009, -0.009889999999999954, -0.007365000000000066, -0.00861500000000004, -0.012249123635505092, -0.013946960933278754, -0.015400157876060116, -0.007221851028328755, -0.0053879862172898875, -0.0062966861085529974, -465.69950160316444, -158.08681217501302, -308.2648822390427, -265.7365628548434, -146.0633344707279, -306.6759061043117, -183.48260283743375, -275.6608938278063, -279.1115193520213, -170.22407911627133, -138.09203038257147, -200.22871752400883, -0.006006082849581134, -0.005711673827589428, -0.00437555838715824, -0.006372941309741802, 1.3595275, -0.00700500000000015, 388, -58576, -52051, 2015, 2339, 0.20905923076923077, 0.10065814814814814, 0.10840108262108264, -164.4419352751948, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 1.9999999999997797, 34.30000000000044, ' 3003.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-06', ' EUR_USD', 'sell', ' 1.359555', ' 1.3629850000000001', ' 1.36532', ' 1.357135', ' 1.361447314357302', -0.0035449999999999093, -0.013439999999999896, -0.01580999999999988, -0.011984999999999912, -0.006469999999999754, -0.003944999999999865, -0.002594161855209845, -0.00976442595855197, -0.011466534183834347, -0.008716553815719551, -0.004724507194467693, -0.0028860292772854975, 0.17117308337610448, 134.7696311188979, -357.1315196343235, -101.36181614939629, -243.98037630870186, -200.31357428654977, -31.118119920058632, -199.83972757987704, -93.12831893476103, -194.74274058484147, -136.31998663938683, -86.8554751647355, -0.004935225169648276, -0.0035056807381303153, -0.003210531127159626, -0.0018710546743411858, 1.36210625, -0.009975000000000067, 30679, 388, -58576, -52051, 2015, 0.20916384615384614, 0.1007085185185185, 0.10845532763532764, -116.8827188869478, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 34.30000000000044, -12.699999999998823, ' 71441.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-07', ' EUR_USD', 'sell', ' 1.3629799999999999', ' 1.36171', ' 1.365645', ' 1.3596750000000002', ' 1.3623909558375105', 0.0028250000000000774, -0.0048200000000000465, -0.014715000000000034, -0.013430000000000053, -0.01326000000000005, -0.007744999999999891, 0.0020789102830630094, -0.003527181986491366, -0.010690738688995066, -0.009766278342568794, -0.00964384677483876, -0.005655534500951029, 38.63720114794923, 111.96331719615243, -8.558654168748973, 90.47901685216881, -397.6064251928846, -122.5092927378948, -510.47483267991913, -300.29139051467536, -37.44092516278058, -223.45633515597754, -126.81303003882925, -224.90959596050968, -0.0047289099387507316, -0.005866055360669332, -0.00443784819196071, -0.004142974677758502, 1.362185, 0.0022400000000000198, -21395, 30679, 388, -58576, -52051, 0.20969000000000002, 0.10096185185185186, 0.10872814814814816, -99.3922059349266, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -12.699999999998823, -45.450000000000216, ' 67229.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-08', ' EUR_USD', 'buy', ' 1.361705', ' 1.35716', ' 1.363525', ' 1.355335', ' 1.35947022302316', -0.0024049999999999905, -0.0017249999999999766, -0.0093700000000001, -0.02367000000000008, -0.017980000000000107, -0.017810000000000104, -0.0017689481562117226, -0.0012694230931977147, -0.006856783239299613, -0.01714186395139161, -0.01307503236034157, -0.012953009883852087, -150.8490647358331, -64.22340974576703, -12.171835043718438, -54.23848891219465, -39.71215534299627, -67.57768504084927, -172.5352500247668, -356.01744456360206, -690.6657162092944, -405.5572552183699, -60.00466151915872, -307.7352092510733, -0.0071474033052168415, -0.00805449575348275, -0.009187841532548079, -0.007764406556610035, 1.358295, 0.006399999999999961, -42987, -21395, 30679, 388, -58576, 0.20949384615384617, 0.1008674074074074, 0.10862643874643876, -134.99825131798787, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -45.450000000000216, 34.49999999999953, ' 77548.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-09', ' EUR_USD', 'buy', ' 1.35716', ' 1.3606099999999999', ' 1.36334', ' 1.35484', ' 1.3586752195572602', -0.002375000000000238, 0.0010449999999999626, 0.0017249999999999766, -0.018185000000000118, -0.020220000000000127, -0.014530000000000154, -0.0017424990003560112, 0.0007686282009318882, 0.0012694230931977147, -0.013189052759837479, -0.01464336667077057, -0.010566196896316124, 42.4551929725947, 40.84120005872748, 146.53909145763856, 68.21855454553565, 26.3536978928198, 71.78266077435103, -288.6223943158849, -245.74620523675551, -134.56098446907728, -285.236443447365, -554.0374638628485, -325.7402808826036, -0.006458773745760169, -0.00462349937451084, -0.005532897718136559, -0.006669124545079643, 1.35985, -0.0010900000000002574, 30583, -42987, -21395, 30679, 388, 0.20879384615384616, 0.10053037037037035, 0.10826347578347581, -112.19272274472894, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 34.49999999999953, 64.00000000000183, ' 85513.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-10', ' EUR_USD', 'sell', ' 1.36062', ' 1.3670200000000001', ' 1.36874', ' 1.3570799999999998', ' 1.3642802781368064', 0.005310000000000148, 0.004035000000000011, 0.0074550000000002115, -0.009404999999999886, -0.011774999999999869, -0.013809999999999878, 0.0038995087059654023, 0.0029604140911308713, 0.005483371519567076, -0.006832918611620601, -0.008540065782077734, -0.010001231143587464, 123.02976499556405, 136.33148249779288, 120.76822518967408, 128.82341360976932, 699.0776657185816, 314.2918853012732, -229.04034792547895, -34.43627259286101, -168.13593729440046, -123.12592549326034, -64.00589976995188, -153.72739499661043, -0.0057819443333308376, -0.001778079601008973, 6.584097210548128e-05, -0.0008478416582612141, 1.364965, -0.004635000000000167, 56724, 30583, -42987, -21395, 30679, 0.2093246153846154, 0.10078592592592592, 0.10853868945868947, -47.2899720129885, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 64.00000000000183, -7.600000000000939, ' 80464.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-12', ' EUR_USD', 'hold', ' 1.367955', ' 1.367195', ' 1.367985', ' 1.3664450000000001', ' 1.3669883014067645', 0.010035000000000016, 0.005484999999999962, 0.004209999999999825, 0.0006649999999999157, -0.009230000000000071, -0.011600000000000055, 0.007394117126941567, 0.004028023587988604, 0.003088808754314849, 0.00048663402925652245, -0.006705777648618756, -0.008413143360688177, 144.80897669136857, 125.63634501679196, 125.96103917857305, 138.70708234397583, 122.90625649045002, 131.22542412013055, 28.99672032372206, 281.01550254078154, -223.48496873117313, -31.533677766992053, -164.84652544124344, -119.77825794956483, -0.0057775935541109205, -0.005654668829138154, -0.001650291539334939, 0.00019386508453246305, 1.3672050000000002, -0.0032650000000000734, -86, 56724, 30583, -42987, -21395, 0.21031076923076927, 0.10126074074074075, 0.10905002849002852, -9.384347368767889, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -7.600000000000939, -3.2999999999994145, ' 3341.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-13', ' EUR_USD', 'hold', ' 1.3672', ' 1.36687', ' 1.36849', ' 1.36374', ' 1.366165877710565', 0.006260000000000154, 0.009710000000000107, 0.005160000000000053, 0.007985000000000131, 0.00034000000000000696, -0.00955499999999998, 0.004600877547570689, 0.007154646467623646, 0.0037893530928024715, 0.005876141100976264, 0.0002488053683417173, -0.006941896579908081, 141.52774673239202, 84.36163382536982, 140.8407711749536, 122.11002065881196, 120.51724426726639, 134.295254058204, 96.25799823564257, 300.44712368386, 26.771470239847904, 269.72573811985495, -233.80210152060627, -36.9242110150386, -0.010109861460136274, -0.006013933126808906, -0.005891037622639037, -0.0018876122253011875, 1.3664925, 0.0015849999999999476, 19233, -86, 56724, 30583, -42987, 0.2103376923076923, 0.1012737037037037, 0.10906398860398861, -19.985951042437463, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -3.2999999999994145, -1.4500000000006175, ' 60504.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-14', ' EUR_USD', 'sell', ' 1.366865', ' 1.36672', ' 1.369955', ' 1.36489', ' 1.3674091881659027', -0.000300000000000189, 0.00611000000000006, 0.009560000000000013, 0.0071550000000000225, 0.007835000000000036, 0.00018999999999991246, -0.00021945545785737516, 0.004490632877900398, 0.007044121547938351, 0.0052627127059022725, 0.005765756484176392, 0.0001390382940732457, 82.67510570235167, 54.42220347916247, 139.76306161103938, 80.09805023036081, 139.0092917058373, 120.48248633974278, 673.2178260495674, 302.77519275419604, 94.58297506448766, 294.96794326270236, 25.74443173959736, 264.5150776178842, -0.008757647075888771, -0.010218491776685086, -0.006123012929592692, -0.006000130911947236, 1.36707125, 0.00611000000000006, -17729, 19233, -86, 56724, 30583, 0.21028769230769231, 0.10124962962962962, 0.1090380626780627, -9.05090672362443, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -1.4500000000006175, -67.74999999999976, ' 63917.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-15', ' EUR_USD', 'buy', ' 1.366735', ' 1.35996', ' 1.367345', ' 1.358115', ' 1.3612062087525456', -0.00723499999999988, -0.007060000000000066, -0.0006499999999998174, -0.0030250000000000554, 0.00039500000000014523, 0.0010750000000001592, -0.005291856684671814, -0.00516451844157369, -0.00047772690190415876, -0.0022193934636111586, 0.00029053410465858216, 0.0007910897537320371, -421.0765534705929, -199.32885113699334, 24.699616641368085, -158.65140296221747, 60.234585475465494, -112.0474504512531, 34.5139338554207, 31.919446734521717, 90.50943884149221, 43.26572069355776, 19.095264151155114, 48.03954561602268, -0.011962148319014805, -0.01366047889642763, -0.015114098042481655, -0.011038876041712095, 1.361345, 0.004825000000000079, -40089, -17729, 19233, -86, 56724, 0.21026461538461538, 0.1012385185185185, 0.10902609686609688, -72.34312808670707, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -67.74999999999976, 16.399999999998638, ' 66792.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-16', ' EUR_USD', 'sell', ' 1.3599350000000001', ' 1.361575', ' 1.3649900000000001', ' 1.35832', ' 1.3612760248721358', -0.00529500000000005, -0.005619999999999958, -0.005445000000000144, -0.00013499999999999623, -0.0014100000000001334, 0.0020100000000000673, -0.0038738138959813657, -0.004110606021818364, -0.003983116560108955, -9.91400518465725e-05, -0.0010344941433692472, 0.0014784140515533037, -45.57798783183423, -24.513268502895205, -316.2132329069897, -142.41302982923708, 38.55026972324466, -107.74698367185975, 31.82526255841362, 62.41639014076184, 54.244908431172995, 54.08657230159196, 229.72157572625747, 105.26391557194802, -0.0036259723533329253, -0.010788818860453733, -0.012489166264745674, -0.01394451163430692, 1.361615, -0.003924999999999956, -1711, -40089, -17729, 19233, -86, 0.2092246153846154, 0.10073777777777777, 0.10848683760683762, -68.1221859364569, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 16.399999999998638, -74.40000000000113, ' 71365.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-17', ' EUR_USD', 'sell', ' 1.361575', ' 1.3541349999999999', ' 1.3621349999999999', ' 1.3517299999999999', ' 1.3573441676705378', -0.012585000000000068, -0.012735000000000163, -0.013060000000000072, -0.0030250000000000554, -0.007575000000000109, -0.008850000000000247, -0.009208177241863782, -0.009316906509031702, -0.009552404741094044, -0.002228919213652079, -0.005562858464724581, -0.0064931015381682455, -212.33539318078346, -106.06595784945392, -202.2062693416985, -152.55381845804368, -799.2987468347033, -404.61346978572846, -14.651835752922056, -16.06764303007624, -92.79576556507428, -38.580540462783524, -36.65196515619936, -48.0331888247319, -0.0034955128653271117, -0.00907041923704577, -0.016194126087509413, -0.01788518235125608, 1.3555337499999998, -0.0033650000000000624, -33477, -1711, -40089, -17729, 19233, 0.20947307692307693, 0.1008574074074074, 0.10861566951566953, -119.30865362737995, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -74.40000000000113, -11.000000000001009, ' 62259.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
