'2014-07-01', ' EUR_USD', 'sell', ' 1.36916', ' 1.36802', ' 1.370065', ' 1.3675549999999999', ' 1.3685660201102339', 0.003214999999999968, 0.006850000000000023, 0.005209999999999937, 0.008885000000000032, 0.008055000000000145, 0.006990000000000052, 0.002355647876436537, 0.005032435331369353, 0.00382298339460375, 0.006537246116095923, 0.0059229465464185815, 0.005135816256805546, 171.5116989804679, 275.8778931836678, 158.99147878843462, 305.8451485357302, 157.4079563644967, 162.6370447111331, 836.4111341319536, 440.9440669247831, 166.18673084912933, 423.66183878930184, 161.9666898694413, 388.18818495017473, 0.009690823609296594, 0.007682731899910826, 0.01065680650416124, 0.010197827515673254, 1.3684150000000002, 0.003350000000000186, -21127, 27625, -417, 26633, 3376, 0.21064076923076927, 0.10141962962962964, 0.10922113960113963, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -11.399999999999189, -27.050000000001795, ' 33565.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-02', ' EUR_USD', 'sell', ' 1.36802', ' 1.3653149999999998', ' 1.368135', ' 1.363965', ' 1.3658492730896392', 0.0009549999999998171, 0.0005099999999997884, 0.004144999999999843, 0.005304999999999893, 0.006179999999999852, 0.005349999999999966, 0.0006999618868918886, 0.0003736797564485684, 0.0030451743720474617, 0.0039007066124513005, 0.004547009678950106, 0.003933924770122736, 177.24587183758203, 36.75236542141317, 105.37639666511554, 101.62432182010745, 117.75735125988747, 133.459873254195, 199.9949432378448, 153.66271342973405, 592.739392847405, 316.5923394415506, 127.43370438818773, 306.72268015781253, 0.004672673689167754, 0.007694351570976008, 0.00569023048195682, 0.008658424417938862, 1.3656825000000001, 0.005339999999999678, -11408, -21127, 27625, -417, 26633, 0.2104646153846154, 0.10133481481481481, 0.10912980056980058, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -27.050000000001795, -44.199999999996464, ' 32363.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-03', ' EUR_USD', 'sell', ' 1.3653149999999998', ' 1.3608950000000002', ' 1.3664450000000001', ' 1.3596300000000001', ' 1.362236465173098', -0.00827, -0.0034649999999998293, -0.003909999999999858, 0.00030500000000022176, 0.0008850000000002467, 0.0017600000000002058, -0.006040177772584019, -0.00253965229118402, -0.0028648781327734424, 0.00022416745676524284, 0.0006507305093346716, 0.0012949412677917983, -54.28477428962203, -131.077395511349, -492.34964399341794, -270.65416428723466, -2.6894207965534926, -183.1079463598645, 57.38314806881555, 41.45464669280727, 88.24049960810791, 54.07470337279347, 194.57706512927302, 113.4002376020655, -9.918958435873874e-05, 0.0014201984598574719, 0.004432094118341738, 0.002434461067037996, 1.3619662500000003, 0.002614999999999812, -28822, -11408, -21127, 27625, -417, 0.21004846153846152, 0.10113444444444443, 0.10891401709401709, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -44.199999999996464, -13.799999999999368, ' 45841.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-04', ' EUR_USD', 'sell', ' 1.36089', ' 1.35951', ' 1.361135', ' 1.3585600000000002', ' 1.3594847162339363', -0.008510000000000018, -0.009655000000000191, -0.004850000000000021, -0.0033000000000000806, -0.0010799999999999699, -0.0004999999999999449, -0.006220669288460707, -0.007051743215755727, -0.003554780263273638, -0.0024214674092500645, -0.0007937732895287853, -0.0003676443555561687, -320.50515915697014, -143.03264183101857, -78.26704299492971, -168.53472420274866, -702.1663384337205, -366.9795135285401, -10.77053813165769, -6.018121719381251, 26.154990868296913, 14.884099754456086, 53.22242168339764, 22.868958140012293, -0.0003345674337206268, -0.0011168012461150495, 0.00040104049773174267, 0.003409870912029645, 1.35967875, 0.002214999999999856, -4997, -28822, -11408, -21127, 27625, 0.2093684615384616, 0.10080703703703704, 0.10856142450142454, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -13.799999999999368, -7.150000000000212, ' 19065.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-06', ' EUR_USD', 'buy', ' 1.3595199999999998', ' 1.3588049999999998', ' 1.35989', ' 1.358415', ' 1.3589420563294974', -0.006510000000000016, -0.009215000000000195, -0.010360000000000369, -0.0023650000000001725, -0.004005000000000258, -0.0017850000000001476, -0.004768130431438911, -0.006736012631394421, -0.007566655589355825, -0.0017374758479838466, -0.0029387809012263325, -0.0013119308535268874, -123.73803985516574, -42.10977263494407, -348.59168957408946, -161.47840036748525, -90.4746238160444, -187.60145108176653, 18.52105913019257, -281.4118983105821, -24.703069109309684, -19.990141970091276, 10.25906969402389, 1.3590199049689247, -0.0002428014877110541, -0.0008529631277275886, -0.0016347912977672378, -0.00011773665988466224, 1.35897875, 0.0013399999999996748, -777, -4997, -28822, -11408, -21127, 0.20915538461538463, 0.10070444444444444, 0.10845094017094019, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -7.150000000000212, 17.700000000000493, ' 1651.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-07', ' EUR_USD', 'buy', ' 1.35881', ' 1.3605800000000001', ' 1.36094', ' 1.357615', ' 1.3595166551523223', -0.00031500000000006523, -0.004734999999999712, -0.007439999999999891, -0.004224999999999923, -0.0005899999999998684, -0.0022299999999999542, -0.00023146532245328638, -0.003468064146368942, -0.005438516980745816, -0.003095680335285937, -0.0004334506343806199, -0.0016363249462507277, 13.939634047923056, 79.71763338870075, -81.17311335459499, 3.7366920944685753, -277.87737540333376, -115.0369515700019, -10.390943986697275, -203.39995189758326, 45.57857349735666, -168.29401896686414, 10.375289025910595, 15.187639512189994, 0.0004191145653342119, 0.0010631762113404045, 0.00045221752030401833, -0.00033063194786289756, 1.3599287500000001, 2.999999999997449e-05, 18824, -777, -4997, -28822, -11408, 0.20904692307692305, 0.1006522222222222, 0.10839470085470085, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 17.700000000000493, 10.900000000000354, ' 24028.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-08', ' EUR_USD', 'buy', ' 1.36059', ' 1.36168', ' 1.361745', ' 1.358835', ' 1.3604383711762853', 0.0021700000000000053, 0.0007849999999998136, -0.003634999999999833, -0.0026800000000000157, -0.0031250000000000444, 0.0005100000000000104, 0.0015961633235504007, 0.0005768262797642827, -0.0026623892654807375, -0.0019642909496027554, -0.0022897043900044654, 0.00037467766700706776, 121.16034328764188, 154.91774389117933, 30.08026294551629, 124.19384409068614, -54.794849044389544, 32.14858572958954, -373.4282684442659, -216.05820821907844, 16.503263978875655, -132.53898017858785, 62.34661056996067, -98.19279796514319, 0.0008011230422096556, 0.001227932147557783, 0.0018725145037100947, 0.0012610618655628147, 1.3609850000000001, -0.0004249999999998977, 24233, 18824, -777, -4997, -28822, 0.20932000000000003, 0.10078370370370371, 0.10853629629629633, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 10.900000000000354, 26.600000000001067, ' 25368.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-09', ' EUR_USD', 'sell', ' 1.3616899999999998', ' 1.36435', ' 1.3648500000000001', ' 1.3602349999999999', ' 1.3626615532288813', 0.005545000000000133, 0.0048399999999999554, 0.003454999999999764, -0.004815000000000236, -1.0000000000065512e-05, -0.0004550000000000942, 0.004080791577893909, 0.003560106214739101, 0.0025387704415107434, -0.003516741955863782, -7.329443841849301e-06, -0.00033338095918471444, 402.34560368785577, 264.80276360580785, 224.84563706264817, 276.5805133298738, 69.25797126967798, 232.14973734006063, 5.54102959255915, -37.636911302858756, 31.05590062109151, -30.362408598684755, 81.78284149531774, 39.459923902989466, 0.0011300181243165772, 0.0027635070079891706, 0.003191153006227903, 0.0038369992679167042, 1.36344625, -0.0005650000000001487, 26296, 24233, 18824, -777, -4997, 0.2094892307692308, 0.10086518518518518, 0.1086240455840456, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 26.600000000001067, -38.999999999997925, ' 33572.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-10', ' EUR_USD', 'hold', ' 1.3643399999999999', ' 1.36044', ' 1.365075', ' 1.35892', ' 1.3615256920250216', -0.000140000000000029, 0.0016350000000002751, 0.0009300000000000974, -0.00757999999999992, -0.008725000000000094, -0.0039199999999999235, -0.00010289729380119433, 0.0012032631613809748, 0.0006840699958073846, -0.0055408546658674, -0.006372497105900379, -0.002873141985986047, 84.9598508315557, 48.18484510328748, 137.27882855399685, 92.46380775917277, 73.00687351947685, 98.41518430167646, -283.4548424365203, -118.69993908078946, -62.16342574154675, -143.38287172404793, -561.2785941525112, -302.2989541101928, -0.0005363033272845401, -0.0017390538666431734, -0.00011024629021224062, 0.000316174145778452, 1.36121875, 0.0010200000000000209, -18041, 26296, 24233, 18824, -777, 0.2099, 0.10106296296296295, 0.10883703703703705, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -38.999999999997925, 3.9499999999970115, ' 35649.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-11', ' EUR_USD', 'hold', ' 1.36044', ' 1.3608349999999998', ' 1.3624800000000001', ' 1.3591950000000002', ' 1.3603616724433438', -0.0008450000000002067, 0.00025499999999967216, 0.0020299999999999763, -0.0044800000000000395, -0.007185000000000219, -0.008330000000000393, -0.0006205569590507364, 0.0001874200708518956, 0.0014939597661180056, -0.003281294060345078, -0.005252116197131781, -0.006084000102252389, 68.72616061303054, 37.61312439180727, 96.83919280622409, 59.5220517117861, 164.05667412376638, 109.874009181007, -75.05815208269091, 10.323085618966152, -267.718417592902, -108.3650814610774, -55.323717338234076, -132.70009567127565, -0.0029088404570618153, -0.00024611180087733074, -0.0014492115555361951, 0.0001800689406800202, 1.3608362499999997, -0.0027200000000000557, -39, -18041, 26296, 24233, 18824, 0.20929846153846157, 0.10077333333333334, 0.10852512820512823, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 3.9499999999970115, 2.349999999999852, ' 26255.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-13', ' EUR_USD', 'buy', ' 1.3600050000000001', ' 1.3602400000000001', ' 1.360815', ' 1.3598050000000002', ' 1.3604516377091378', -0.004109999999999836, -0.0014399999999998858, -0.00034000000000000696, -0.0006550000000000722, -0.005074999999999719, -0.007779999999999898, -0.0030124234983690667, -0.0010575171846541667, -0.0002498934278028539, -0.00048130090859329494, -0.00371709092773442, -0.0056870513588981875, 0.10834001430639685, 17.78808847843111, 48.28012783066273, 23.278032765922443, 78.94499413551719, 42.44448732682877, 8.950712388666314, 65.97044098990347, -89.32639505047773, -5.04516593820632, -291.42265248392715, -123.93277838191285, -0.003019730862822057, -0.003344800172918424, -0.0006832357457186651, -0.0018858094672037635, 1.3602750000000001, -0.003195000000000281, -215, -39, -18041, 26296, 24233, 0.20935923076923074, 0.10080259259259257, 0.10855663817663817, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 2.349999999999852, 19.74999999999838, ' 1554.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
