'2015-01-01', ' EUR_USD', 'sell', ' 1.2105700000000001', ' 1.208765', ' 1.210915', ' 1.20787', ' 1.2089722581309181', -0.006599999999999717, -0.008099999999999774, -0.00918999999999981, -0.008779999999999788, -0.013595000000000024, -0.01369499999999979, -0.005430467390454488, -0.006656449154178791, -0.007545434765652105, -0.007211232439047254, -0.011121928073562635, -0.011202820542185259, -70.49718394401052, -47.14066064142174, -480.7519067923659, -202.77455501184008, -150.1830820988449, -233.8107242784071, -95.36060160047211, -236.3177044345335, -229.85330029767053, -162.07090116446702, -2008.029086502404, -777.7476628001822, -0.01634054742461407, -0.02020361679190079, -0.03384208359809914, -0.028359102765575007, 1.20907875, 0.0012350000000000971, -1001, -9453, 3128, -11344, -1785, 0.18617, 0.0896374074074074, 0.0965325925925926, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -18.050000000000566, -85.50000000000057, ' 2429.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-02', ' EUR_USD', 'sell', ' 1.208745', ' 1.200195', ' 1.2089349999999999', ' 1.2000700000000002', ' 1.2039268456670367', -0.01595000000000013, -0.015169999999999906, -0.016669999999999963, -0.019175000000000164, -0.017349999999999977, -0.022165000000000212, -0.013115212412993623, -0.012481847017151151, -0.013699136716069543, -0.01572533357389485, -0.014249986653470695, -0.018132955921332676, -191.82088331944686, -192.13726392927893, -179.94661626288493, -168.1047134035263, -995.4357095669768, -455.7344030497695, -329.3648454843862, -474.3158596809057, -201.35805370372452, -438.27727704807876, -382.61350065060566, -304.4454666129055, -0.018474220733816746, -0.023314575882230928, -0.027150256547431098, -0.04069202824702964, 1.20234875, 0.0010199999999997988, -21037, -1001, -9453, 3128, -11344, 0.18596384615384617, 0.08953814814814814, 0.09642569800569803, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -85.50000000000057, -8.099999999999774, ' 21648.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-04', ' EUR_USD', 'sell', ' 1.195495', ' 1.194685', ' 1.195745', ' 1.18734', ' 1.1946286779154205', -0.01541999999999999, -0.021460000000000035, -0.02067999999999981, -0.026140000000000052, -0.024685000000000068, -0.02285999999999988, -0.012742695881762318, -0.01764592215566403, -0.0170154644900913, -0.021411750250854997, -0.020244060457449392, -0.018775486737656416, -208.86137311117537, -234.19863170950842, -278.4547412776546, -306.76894025652604, -250.31608791714095, -245.87740076865694, -997.2534911607717, -911.8295039953006, -437.6141922555715, -615.5853127604994, -269.5081075063964, -568.1252636409132, -0.022720579814472362, -0.022980327694566104, -0.02779846115661452, -0.03161653251627246, 1.19311375, 0.007469999999999644, 3501, -21037, -1001, -9453, 3128, 0.1846453846153846, 0.08890333333333332, 0.09574205128205128, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -8.099999999999774, -9.350000000001302, ' 4682.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-05', ' EUR_USD', 'sell', ' 1.194715', ' 1.1937799999999998', ' 1.1976399999999998', ' 1.1887349999999999', ' 1.193498158515961', -0.014985000000000248, -0.016325000000000145, -0.02236500000000019, -0.024175000000000058, -0.027045000000000208, -0.025590000000000224, -0.012396950606611085, -0.013490564868337992, -0.0183900768411663, -0.019848844990167994, -0.0221530522392646, -0.020986246996399963, -462.7105842172777, -152.34760774988692, -221.39582554258428, -251.68626536125598, -292.68407729438655, -325.5968290180829, -428.7095035408332, -690.4271365550958, -1032.2618080537375, -947.2230558597257, -455.39380365810166, -638.7883717508907, -0.023381000687195484, -0.023460890335880145, -0.023720441451277347, -0.02853492507191723, 1.19348375, 0.013784999999999714, 3776, 3501, -21037, -1001, -9453, 0.18379769230769233, 0.08849518518518518, 0.09530250712250715, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -9.350000000001302, -65.20000000000081, ' 28382.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-06', ' EUR_USD', 'sell', ' 1.19375', ' 1.18723', ' 1.196895', ' 1.18422', ' 1.1914276869234623', -0.012964999999999893, -0.021535000000000082, -0.02287499999999998, -0.029634999999999856, -0.03072499999999989, -0.03359500000000004, -0.010802411274834419, -0.017815704458683104, -0.018903318307089037, -0.024353564281986793, -0.025226711988538077, -0.02751827657526676, -144.8376216850419, -54.34892625122765, -677.8102525368702, -274.6522011486121, -312.11479065386845, -378.2542216252602, -1774.0676235661167, -838.4210342996712, -550.454452519475, -890.0158920046912, -1285.6369192679697, -1203.3863317845205, -0.024898463711813423, -0.028739487548676414, -0.028818938860985126, -0.029077065878302402, 1.18889375, 0.009449999999999736, -17815, 3776, 3501, -21037, -1001, 0.18365846153846152, 0.08842814814814813, 0.09523031339031339, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -65.20000000000081, -38.85000000000139, ' 33931.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-07', ' EUR_USD', 'sell', ' 1.187235', ' 1.18335', ' 1.18968', ' 1.180205', ' 1.18430401095198', -0.011335000000000095, -0.016845, -0.025415000000000187, -0.032014999999999905, -0.03351499999999996, -0.034605, -0.009487856631664493, -0.01403521927686751, -0.021025592236704558, -0.02634188083415263, -0.02754208560522323, -0.02841237976772541, -47.471178213229614, -38.268665153874096, -188.60475347148815, -98.84896592011249, -805.2280713277195, -347.1013343374791, -395.07796835289645, -405.86894546625746, -2007.0866614617412, -952.9466131079757, -622.5720711511017, -1008.2455669885798, -0.029539844345850857, -0.028085204242964307, -0.03191367518570651, -0.031992866842268854, 1.18414625, 0.0061549999999999105, -11970, -17815, 3776, 3501, -21037, 0.18265076923076926, 0.08794296296296296, 0.0947078062678063, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -38.85000000000139, -41.049999999998036, ' 35610.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-08', ' EUR_USD', 'buy', ' 1.183315', ' 1.17921', ' 1.1847699999999999', ' 1.17543', ' 1.1795897272382396', -0.01456999999999975, -0.015474999999999905, -0.02098499999999981, -0.03693499999999994, -0.036154999999999715, -0.03765499999999977, -0.012204928881368218, -0.012953205238200786, -0.01748465874295411, -0.030370556142565185, -0.029748264924528617, -0.030944270728470107, -106.96117954879617, -52.3295677845166, -96.72698718635085, -81.07149403646147, -235.3047342951671, -146.3309670101047, -521.7685256521156, -628.7154359306037, -447.9508563109022, -464.30432217980234, -2255.720377154477, -1075.1465863724982, -0.03408760469354736, -0.03293504022569029, -0.03148548924269722, -0.03530056611800126, 1.179655, 0.00692500000000007, -5023, -11970, -17815, 3776, 3501, 0.18205384615384615, 0.08765555555555554, 0.09439829059829061, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -41.049999999998036, 49.44999999999755, ' 26360.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-09', ' EUR_USD', 'buy', ' 1.1791800000000001', ' 1.1841249999999999', ' 1.1846', ' 1.1762450000000002', ' 1.1808466164345013', -0.0031050000000001354, -0.00965499999999997, -0.010560000000000125, -0.025980000000000114, -0.03202000000000016, -0.031239999999999934, -0.0026153314858958546, -0.008087754862704997, -0.008839150068846705, -0.02146921134942845, -0.026329097270473636, -0.025704212314818956, -0.7495009901316624, 44.571771910864165, -51.7680879496023, -3.715331305663826, -38.25058595376845, -30.256058297834134, -355.11973518372446, -438.25322990003275, -444.4898665115386, -526.4623163029443, -385.1802658969895, -394.9299558640842, -0.02777606726028468, -0.030061638645997726, -0.028904270237909896, -0.027448677461613336, 1.18227375, 0.00313500000000011, 31494, -5023, -11970, -17815, 3776, 0.18141692307692311, 0.08734888888888889, 0.09406803418803422, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 49.44999999999755, 21.399999999998087, ' 35535.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-11', ' EUR_USD', 'sell', ' 1.18486', ' 1.1869999999999998', ' 1.1870150000000002', ' 1.184415', ' 1.1868345285029303', 0.003649999999999931, -0.0002300000000001745, -0.006780000000000008, -0.021765000000000256, -0.023105000000000153, -0.0291450000000002, 0.00308446359910418, -0.00019372825821464628, -0.005679438422489914, -0.0180059813115041, -0.019093384458373573, -0.023965069954651953, 71.7142826988612, 108.10417764037715, 21.932765816441563, 72.50717507798906, -19.483217482117592, 24.721277011061726, -685.3633706610756, -278.94686626032643, -315.30034210052673, -382.6985926085799, -399.2861747456859, -466.6499625024294, -0.024542574566611772, -0.0254155531197787, -0.02770667376569141, -0.026546495321354658, 1.1863575, -0.000660000000000327, 1855, 31494, -5023, -11970, -17815, 0.1821730769230769, 0.08771296296296295, 0.09446011396011396, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 21.399999999998087, -37.74999999999862, ' 1877.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-12', ' EUR_USD', 'sell', ' 1.18699', ' 1.1832150000000001', ' 1.18711', ' 1.1786349999999999', ' 1.182570140800606', 0.004005000000000036, -0.0001349999999997742, -0.00401499999999988, -0.016979999999999773, -0.02554999999999996, -0.02688999999999986, 0.0033963416185412575, -0.00011408290024065086, -0.00338182155100518, -0.014147700998587542, -0.02113727647640357, -0.022221212208857793, 83.35028532885337, 40.20677190854327, 31.767474749608347, 66.17995384980658, -7.928931527166833, 35.7296095170983, -190.12757893312738, -100.3972920426097, -809.661423270177, -349.6221160334792, -367.72343873353327, -455.8374803122792, -0.026452958576229927, -0.02765302642445936, -0.02852322130127942, -0.03080703622550318, 1.18304375, 0.00456499999999993, 1920, 1855, 31494, -5023, -11970, 0.1826153846153846, 0.08792592592592591, 0.09468945868945869, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -37.74999999999862, -55.15000000000158, ' 23757.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-13', ' EUR_USD', 'buy', ' 1.1832150000000001', ' 1.1777', ' 1.185965', ' 1.17529', ' 1.1795626771155705', -0.006424999999999903, -0.0015100000000001224, -0.005649999999999933, -0.016985000000000028, -0.02249499999999993, -0.03106500000000012, -0.005425947429536496, -0.001280518313108032, -0.0047745806397092435, -0.014217136734787854, -0.018742787630343347, -0.025699784490782012, 17.41451329128055, -83.95903421025233, 24.303808310403717, -72.18032537253985, -26.437715696931402, 5.093535301584288, -114.69227016930314, -96.68315384629604, -252.33781908834683, -163.64928141732628, -990.7720600308819, -452.6007164295106, -0.03161218440235339, -0.0309906900396176, -0.03218516433622456, -0.0330513032090676, 1.1791637499999998, 0.006990000000000274, -16482, 1920, 1855, 31494, -5023, 0.18203307692307696, 0.08764555555555556, 0.0943875213675214, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -55.15000000000158, 7.449999999999957, ' 30051.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
