year,month,day,hour,minute,second,openBid,openAsk,highBid,highAsk,lowBid,lowAsk,closeBid,closeAsk,volume,complete
2011,01,02,14,00,00,81.16,81.26,81.16,81.26,81.16,81.26,81.16,81.26,1,True
2011,01,02,17,00,00,81.135,81.285,81.135,81.285,80.955,81.105,81.05,81.2,6,True
2011,01,02,18,00,00,81.058,81.208,81.31,81.41,81.054,81.199,81.296,81.396,109,True
2011,01,02,19,00,00,81.299,81.399,81.306,81.406,81.274,81.374,81.279,81.379,20,True
2011,01,02,20,00,00,81.281,81.381,81.343,81.443,81.24,81.34,81.3,81.4,149,True
2011,01,02,21,00,00,81.297,81.397,81.297,81.397,81.112,81.212,81.183,81.283,351,True
2011,01,02,22,00,00,81.18,81.28,81.205,81.305,80.907,80.957,81.019,81.069,970,True
2011,01,02,23,00,00,81.022,81.072,81.227,81.245,81.022,81.072,81.123,81.141,539,True
2011,01,03,00,00,00,81.126,81.144,81.331,81.342,81.126,81.144,81.314,81.325,343,True
2011,01,03,01,00,00,81.316,81.327,81.34,81.352,81.264,81.276,81.314,81.326,275,True
2011,01,03,02,00,00,81.316,81.328,81.363,81.375,81.294,81.306,81.308,81.32,166,True
2011,01,03,03,00,00,81.311,81.323,81.322,81.334,81.267,81.279,81.275,81.287,95,True
2011,01,03,04,00,00,81.273,81.285,81.281,81.293,81.231,81.243,81.248,81.26,93,True
2011,01,03,05,00,00,81.251,81.263,81.308,81.32,81.231,81.243,81.249,81.261,134,True
2011,01,03,06,00,00,81.251,81.263,81.302,81.314,81.24,81.252,81.255,81.267,122,True
2011,01,03,07,00,00,81.257,81.269,81.34,81.352,81.219,81.231,81.326,81.338,393,True
2011,01,03,08,00,00,81.323,81.335,81.358,81.37,81.311,81.323,81.329,81.341,343,True
2011,01,03,09,00,00,81.331,81.343,81.427,81.439,81.329,81.341,81.418,81.43,385,True
2011,01,03,10,00,00,81.421,81.433,81.444,81.456,81.369,81.381,81.401,81.413,471,True
2011,01,03,11,00,00,81.398,81.41,81.456,81.468,81.386,81.398,81.436,81.448,321,True
2011,01,03,12,00,00,81.439,81.451,81.45,81.462,81.353,81.365,81.45,81.462,460,True
2011,01,03,13,00,00,81.448,81.46,81.531,81.543,81.383,81.395,81.529,81.541,923,True
2011,01,03,14,00,00,81.526,81.538,81.727,81.739,81.523,81.535,81.716,81.728,749,True
2011,01,03,15,00,00,81.672,81.772,81.715,81.772,81.576,81.591,81.686,81.699,1024,True
2011,01,03,16,00,00,81.684,81.697,81.724,81.737,81.499,81.512,81.559,81.572,943,True
2011,01,03,17,00,00,81.556,81.569,81.565,81.578,81.514,81.527,81.544,81.557,281,True
2011,01,03,18,00,00,81.546,81.559,81.596,81.609,81.52,81.533,81.572,81.585,322,True
2011,01,03,19,00,00,81.575,81.588,81.656,81.669,81.575,81.588,81.623,81.636,327,True
2011,01,03,20,00,00,81.621,81.634,81.727,81.74,81.621,81.634,81.727,81.74,313,True
2011,01,03,21,00,00,81.725,81.738,81.739,81.757,81.698,81.716,81.731,81.749,232,True
2011,01,03,22,00,00,81.727,81.745,81.745,81.763,81.702,81.72,81.734,81.752,441,True
2011,01,03,23,00,00,81.738,81.749,81.749,81.761,81.639,81.651,81.671,81.683,323,True
2011,01,04,00,00,00,81.674,81.686,81.79,81.801,81.609,81.62,81.748,81.759,628,True
2011,01,04,01,00,00,81.746,81.757,81.933,81.944,81.74,81.751,81.859,81.87,763,True
2011,01,04,02,00,00,81.856,81.867,81.924,81.935,81.85,81.861,81.91,81.921,438,True
2011,01,04,03,00,00,81.912,81.923,81.968,81.979,81.859,81.87,81.968,81.979,389,True
2011,01,04,04,00,00,81.971,81.982,82.147,82.158,81.963,81.974,82.124,82.135,630,True
2011,01,04,05,00,00,82.126,82.137,82.153,82.164,82.067,82.078,82.138,82.149,471,True
2011,01,04,06,00,00,82.141,82.152,82.227,82.24,82.097,82.11,82.126,82.139,500,True
2011,01,04,07,00,00,82.124,82.137,82.275,82.287,82.069,82.083,82.27,82.282,915,True
2011,01,04,08,00,00,82.272,82.284,82.275,82.287,82.149,82.161,82.202,82.215,1043,True
2011,01,04,09,00,00,82.205,82.218,82.248,82.261,82.079,82.092,82.12,82.133,1067,True
2011,01,04,10,00,00,82.118,82.131,82.206,82.219,82.094,82.107,82.171,82.184,765,True
2011,01,04,11,00,00,82.169,82.182,82.254,82.284,81.987,82.017,82.209,82.221,942,True
2011,01,04,12,00,00,82.212,82.224,82.248,82.26,82.127,82.139,82.135,82.147,866,True
2011,01,04,13,00,00,82.138,82.15,82.224,82.236,82.05,82.062,82.19,82.202,977,True
2011,01,04,14,00,00,82.193,82.205,82.248,82.26,82.088,82.1,82.153,82.165,787,True
2011,01,04,15,00,00,82.156,82.168,82.2,82.212,81.96,81.972,82.011,82.023,1379,True
2011,01,04,16,00,00,82.015,82.027,82.075,82.087,81.91,81.922,81.962,81.974,986,True
2011,01,04,17,00,00,81.965,81.977,81.989,82.001,81.676,81.688,81.799,81.811,1239,True
2011,01,04,18,00,00,81.802,81.814,81.924,81.936,81.8,81.812,81.922,81.934,537,True
2011,01,04,19,00,00,81.919,81.931,82.075,82.087,81.88,81.892,81.998,82.01,846,True
2011,01,04,20,00,00,81.996,82.008,82.052,82.064,81.993,82.005,82.034,82.046,377,True
2011,01,04,21,00,00,82.038,82.05,82.058,82.076,81.976,81.994,82.024,82.042,394,True
2011,01,04,22,00,00,82.029,82.047,82.114,82.132,82.021,82.039,82.088,82.106,295,True
2011,01,04,23,00,00,82.085,82.103,82.104,82.115,82.02,82.032,82.047,82.059,301,True
2011,01,05,00,00,00,82.049,82.061,82.052,82.064,81.972,81.983,82.017,82.028,846,True
2011,01,05,01,00,00,82.014,82.025,82.2,82.211,82.011,82.022,82.126,82.137,697,True
2011,01,05,02,00,00,82.124,82.135,82.129,82.14,82.089,82.1,82.1,82.111,323,True
2011,01,05,03,00,00,82.097,82.108,82.12,82.131,82.094,82.105,82.111,82.122,162,True
2011,01,05,04,00,00,82.109,82.12,82.109,82.12,81.931,81.942,81.941,81.952,466,True
2011,01,05,05,00,00,81.939,81.95,82.031,82.042,81.883,81.894,82.028,82.039,533,True
2011,01,05,06,00,00,82.031,82.042,82.058,82.07,82.002,82.013,82.049,82.061,549,True
2011,01,05,07,00,00,82.047,82.059,82.087,82.099,81.91,81.922,81.948,81.96,692,True
2011,01,05,08,00,00,81.95,81.962,82.055,82.067,81.942,81.954,82.007,82.019,949,True
2011,01,05,09,00,00,82.01,82.022,82.117,82.129,81.984,81.996,82.036,82.044,728,True
2011,01,05,10,00,00,82.038,82.046,82.135,82.143,82.001,82.009,82.126,82.134,1158,True
2011,01,05,11,00,00,82.128,82.136,82.209,82.217,82.083,82.091,82.123,82.131,859,True
2011,01,05,12,00,00,82.126,82.134,82.329,82.337,82.1,82.108,82.253,82.261,949,True
2011,01,05,13,00,00,82.256,82.264,83.069,83.081,82.166,82.222,82.909,82.921,3677,True
2011,01,05,14,00,00,82.907,82.919,83.23,83.242,82.886,82.898,83.169,83.181,2186,True
2011,01,05,15,00,00,83.171,83.183,83.346,83.358,83.011,83.023,83.309,83.321,2032,True
2011,01,05,16,00,00,83.306,83.318,83.337,83.349,83.213,83.225,83.219,83.231,1603,True
2011,01,05,17,00,00,83.216,83.228,83.247,83.259,83.142,83.154,83.209,83.221,710,True
2011,01,05,18,00,00,83.212,83.224,83.26,83.272,83.159,83.171,83.212,83.224,522,True
2011,01,05,19,00,00,83.21,83.222,83.37,83.382,83.169,83.181,83.318,83.33,764,True
2011,01,05,20,00,00,83.315,83.327,83.315,83.327,83.228,83.24,83.251,83.263,437,True
2011,01,05,21,00,00,83.249,83.261,83.293,83.311,83.216,83.234,83.24,83.258,407,True
2011,01,05,22,00,00,83.242,83.26,83.28,83.298,83.207,83.225,83.212,83.23,412,True
2011,01,05,23,00,00,83.21,83.228,83.284,83.296,83.172,83.184,83.181,83.193,431,True
