'2012-01-01', ' USD_JPY', 'sell', ' 76.964', ' 77.04', ' 77.19', ' 76.325', ' 76.88694050480768', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 82.65894998162517, 82.65894998162517, 82.65894998162517, 82.65894998162517, 82.65894998162517, 82.65894998162517, 82.65894998162517, 82.65894998162517, 82.65894998162517, 82.65894998162517, 82.65894998162517, 82.65894998162517, 0.0, 0.0, 0.0, 0.0, 76.89875, 0.0, 1086, 0, 0, 0, 0, 77.04, 77.04, 0.0, 0.0, 76.325, 77.19, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 7.600000000000762, -9.300000000001774, ' 1664.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-01-02', ' USD_JPY', 'sell', ' 77.043', ' 76.94999999999999', ' 77.112', ' 76.866', ' 76.95045802675584', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 34.14632758278986, 34.14632758278986, 34.14632758278986, 34.14632758278986, 34.14632758278986, 34.14632758278986, 34.14632758278986, 34.14632758278986, 34.14632758278986, 34.14632758278986, 34.14632758278986, 34.14632758278986, 0.0, 0.0, 0.0, 0.0, 76.9695, 0.6249999999999858, -948, 1086, 0, 0, 0, 76.995, 76.995, 0.0, 0.0, 76.866, 77.112, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -9.300000000001774, -21.50000000000034, ' 2990.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-01-03', ' USD_JPY', 'hold', ' 76.952', ' 76.737', ' 76.964', ' 76.6265', ' 76.74931448804271', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 32.740731039783384, 32.740731039783384, 32.740731039783384, 32.740731039783384, 32.740731039783384, 32.740731039783384, 32.740731039783384, 32.740731039783384, 32.740731039783384, 32.740731039783384, 32.740731039783384, 32.740731039783384, 0.0, 0.0, 0.0, 0.0, 76.76612499999999, 0.7354999999999876, -2973, -948, 1086, 0, 0, 76.909, 76.909, 0.0, 0.0, 76.6265, 76.964, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -21.50000000000034, -0.9500000000002728, ' 8614.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-01-04', ' USD_JPY', 'buy', ' 76.73400000000001', ' 76.7245', ' 76.83250000000001', ' 76.6115', ' 76.70634892235425', -0.3155000000000001, 0.0, 0.0, 0.0, 0.0, 0.0, -0.004095275181723781, 0.0, 0.0, 0.0, 0.0, 0.0, 46.184965758964154, 46.184965758964154, 51.13119858316701, 51.13119858316701, 51.13119858316701, 51.13119858316701, 51.13119858316701, 51.13119858316701, 51.13119858316701, 51.13119858316701, 51.13119858316701, 51.13119858316701, 0.0, 0.0, 0.0, 0.0, 76.72325000000001, 0.22350000000000136, 163, -2973, -948, 1086, 0, 76.862875, 76.862875, 0.0, 0.0, 76.6115, 76.83250000000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -0.9500000000002728, 44.70000000000027, ' 7238.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-01-05', ' USD_JPY', 'sell', ' 76.7265', ' 77.1735', ' 77.244', ' 76.65950000000001', ' 76.9406980233389', 0.22350000000001558, 0.13349999999999795, 0.0, 0.0, 0.0, 0.0, 0.0029044834307994233, 0.0017328660436136804, 0.0, 0.0, 0.0, 0.0, 124.99994918701685, 124.99994918701685, 98.09247420896327, 98.09247420896327, 87.9383938514302, 87.9383938514302, 87.9383938514302, 87.9383938514302, 87.9383938514302, 87.9383938514302, 87.9383938514302, 87.9383938514302, 0.0, 0.0, 0.0, 0.0, 77.062625, 0.04250000000000398, 6372, 163, -2973, -948, 1086, 76.925, 76.925, 0.0, 0.0, 76.65950000000001, 77.244, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 44.70000000000027, -20.350000000000534, ' 8398.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-01-06', ' USD_JPY', 'hold', ' 77.17150000000001', ' 76.968', ' 77.361', ' 76.964', ' 77.15939562558168', 0.23100000000000875, 0.018000000000014893, -0.07200000000000273, 0.0, 0.0, 0.0, 0.0030102818718481146, 0.00023391812865516433, -0.0009345794392523718, 0.0, 0.0, 0.0, 101.18515520439989, 105.09248145161312, 41.46339777910899, 41.46339777910899, 74.33525152193677, 74.33525152193677, 1.0075564212716401, 1.0075564212716401, 1.0075564212716401, 1.0075564212716401, 1.0075564212716401, 1.0075564212716401, 0.0, 0.0, 0.0, 0.0, 77.06525, 0.23799999999999955, -7369, 6372, 163, -2973, -948, 76.93216666666667, 76.93216666666667, 0.0, 0.0, 76.964, 77.361, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -20.350000000000534, -4.4999999999987494, ' 7521.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-01-08', ' USD_JPY', 'sell', ' 76.987', ' 76.94200000000001', ' 77.033', ' 76.794', ' 76.89265369018655', 0.21750000000000114, 0.2050000000000125, -0.007999999999981355, 0.0, 0.0, 0.0, 0.002834818082880972, 0.002671462267224579, -0.00010396361273530028, 0.0, 0.0, 0.0, 149.5474436436885, 64.11259422370603, 93.48145378327563, 97.1202655904596, 30.894296384436075, 30.894296384436075, 61.92466028257213, 61.92466028257213, 61.92466028257213, 61.92466028257213, 61.92466028257213, 61.92466028257213, 0.0, 0.0, 0.0, 0.0, 76.92775, 0.45650000000000546, 294, -7369, 6372, 163, -2973, 76.93357142857144, 76.93357142857144, 0.0, 0.0, 76.794, 77.033, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -4.4999999999987494, -6.3500000000004775, ' 1233.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-01-09', ' USD_JPY', 'hold', ' 76.94', ' 76.8765', ' 77.01050000000001', ' 76.773', ' 76.87973396055318', -0.29700000000001125, 0.1519999999999868, 0.13949999999999818, 0.0, 0.0, 0.0, -0.003848471301677535, 0.0019811142464269795, 0.0018178974940380546, 0.0, 0.0, 0.0, 37.125742151282395, 16.534753148284306, 119.9094480047665, 44.99829781358576, 74.07405212620553, 77.0364140940848, 43.57892901939488, 43.57892901939488, 43.57892901939488, 43.57892901939488, 43.57892901939488, 43.57892901939488, 0.0, 0.0, 0.0, 0.0, 76.884125, 0.25150000000000716, -566, 294, -7369, 6372, 163, 76.9264375, 76.9264375, 0.0, 0.0, 76.773, 77.01050000000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -6.3500000000004775, -1.650000000000773, ' 4411.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-01-10', ' USD_JPY', 'hold', ' 76.8785', ' 76.862', ' 76.9065', ' 76.7775', ' 76.83724494461052', -0.10600000000000875, -0.31150000000000944, 0.13749999999998863, -0.17800000000001148, 0.0, 0.0, -0.0013771957177009765, -0.004036359631220683, 0.0017921263742349395, -0.0023104880581517584, 0.0, 0.0, -25.692688742396395, 13.4109502101264, 34.64498979555168, 12.468057331264546, 113.3483650007326, 40.76688868462929, 62.08091767850606, 62.08091767850606, 65.50382519083122, 65.50382519083122, 65.50382519083122, 65.50382519083122, 0.0, 0.0, 0.0, 0.0, 76.852, 0.19249999999999545, 1763, -566, 294, -7369, 6372, 76.91927777777778, 76.91927777777778, 0.0, 0.0, 76.7775, 76.9065, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -1.650000000000773, 0.9500000000002728, ' 5687.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-01-11', ' USD_JPY', 'sell', ' 76.864', ' 76.8735', ' 77.042', ' 76.83699999999999', ' 76.93089283869858', -0.06850000000000023, -0.09449999999999648, -0.29999999999999716, -0.07649999999998158, -0.1664999999999992, 0.0, -0.0008902809908762473, -0.0012277829747427045, -0.003887344749169043, -0.0009941520467833865, -0.0021612149532710175, 0.0, 33.26358440854572, 49.99930100914679, -22.795964031240878, 17.59446401127487, 36.61248304320253, 15.69336780683579, 3.0487792484667846, 3.0487792484667846, 63.41039729359655, 63.41039729359655, 17.804869363486034, 17.804869363486034, 0.0, 0.0, 0.0, 0.0, 76.9065, -0.07949999999999591, -3740, 1763, -566, 294, -7369, 76.91470000000001, 76.91470000000001, 0.0, 0.0, 76.83699999999999, 77.042, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 0.9500000000002728, -7.800000000000296, ' 5809.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-01-12', ' USD_JPY', 'buy', ' 76.8715', ' 76.7935', ' 76.982', ' 76.6705', ' 76.84419929819536', -0.08299999999999841, -0.14850000000001273, -0.17450000000000898, 0.05649999999999977, -0.1564999999999941, -0.2465000000000117, -0.0010796537303336964, -0.0019300252137975712, -0.002267175969234084, 0.0007362810638935556, -0.002033788174138975, -0.0031996365524404424, 8.631575313019837, -0.06161179024439297, -0.2092049333880523, 6.941820513340086, -42.9470924566522, -11.508240692340138, 49.48146682030576, 51.58664807578389, -29.47153273515196, -29.47153273515196, 54.16184344949723, 54.16184344949723, 0.0, 0.0, 0.0, 0.0, 76.809875, -0.04550000000000409, -1468, -3740, 1763, -566, 294, 76.90368181818182, 76.90368181818182, 0.0, 0.0, 76.6705, 76.982, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -7.800000000000296, 17.64999999999901, ' 6982.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
