'2012-07-01', ' USD_JPY', 'sell', ' 79.74799999999999', ' 79.843', ' 79.9825', ' 79.713', ' 79.85894037780402', 0.16750000000000398, 0.37750000000001194, 0.18249999999999034, -0.20900000000000318, 0.4065000000000083, 0.7830000000000013, 0.002102277362551901, 0.004750489206007789, 0.0022909723137563825, -0.0026108029780642977, 0.00511729494627795, 0.0099038704781179, 95.28948080677776, 103.37471307434372, 110.3884172739967, 112.56638219563119, 35.47102737982969, 80.38297515353472, 48.0697992522693, -76.75023483919752, 115.26169528796832, 40.891075182872264, 360.5785314363376, 174.63667532552506, 0.0097059139682961, 0.014239983740250439, 0.005231185672468532, 0.005801026674645046, 79.84537499999999, -0.3410000000000082, -59, 9655, -6984, 2463, -1918, 12.276, 5.910666666666666, 6.365333333333334, 66.3573768491878, 78.887155, 80.19419500000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 9.500000000001307, -39.30000000000007, ' 1694.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-02', ' USD_JPY', 'buy', ' 79.846', ' 79.453', ' 79.862', ' 79.315', ' 79.57627897390746', 0.1454999999999984, -0.2224999999999966, -0.012499999999988631, -0.9759999999999991, -0.5990000000000038, 0.01650000000000773, 0.0018346310248084784, -0.0027925773920464457, -0.0001573009670862026, -0.012134926456874997, -0.007482636286413877, 0.00020771307900030504, 49.04254275690727, -3.5094393982950294, 18.7438628569484, 34.89682082737491, 39.927725396977905, 35.904710336944525, -116.16648283320475, -173.895597551454, 6.8217866925671276, -171.9460088876623, 72.2864934119574, -12.35273424289341, 0.005416007592533974, 0.004773918596784057, 0.009285841315007171, 0.0003210474961442052, 79.52074999999999, -0.007999999999995566, -6189, -59, 9655, -6984, 2463, 12.283538461538463, 5.914296296296296, 6.3692421652421665, 0.036370249137414205, 78.88429500000001, 80.19485500000002, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -39.30000000000007, 39.90000000000151, ' 12494.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-03', ' USD_JPY', 'buy', ' 79.45599999999999', ' 79.855', ' 79.93100000000001', ' 79.441', ' 79.76858671604937', 0.06100000000000705, 0.5474999999999994, 0.17950000000000443, -0.7194999999999965, -0.5739999999999981, -0.19700000000000273, 0.0007644685064040786, 0.006903508495413415, 0.002252888278078009, -0.008929624136668505, -0.0071367292891867115, -0.002460900414730459, 84.22600538834553, 78.5454757567146, 134.5744394522488, 90.49686408846758, 97.64473058984952, 105.48172514348128, -232.4674318322683, -27.792829587114884, -38.33493933495664, -78.08995555294057, 49.33896886949095, -73.82113409924466, 0.010055653933721246, 0.0105030053780449, 0.009857667672034937, 0.01439241889179639, 79.7705, 0.06199999999999761, 6984, -6189, -59, 9655, -6984, 12.223538461538462, 5.885407407407407, 6.338131054131055, 40.46004253382981, 78.86396, 80.24424000000003, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 39.90000000000151, 9.600000000000364, ' 10125.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-04', ' USD_JPY', 'sell', ' 79.853', ' 79.949', ' 79.967', ' 79.59299999999999', ' 79.78532880071333', 0.10599999999999454, 0.15500000000000114, 0.6414999999999935, 0.2884999999999849, -0.6255000000000024, -0.480000000000004, 0.0013276054256477654, 0.0019425019425019568, 0.008088768401475188, 0.0036216192466779, -0.007763001942301875, -0.005967996618135299, 87.56954079052191, 102.38263461528508, 95.29133663433284, 99.58859741676078, 154.57443519692936, 112.4784375405947, 44.84740868222816, 96.82695596514195, -191.77480875548585, -5.796042694656573, -20.13552369108886, -55.68764125478217, 0.0064516941204610335, 0.011244624335947329, 0.01169250237266678, 0.011046405017989046, 79.86449999999999, -0.0940000000000083, 6081, 6984, -6189, -59, 9655, 12.285384615384617, 5.9151851851851855, 6.370199430199431, 54.26845635288984, 78.87388, 80.29782000000002, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 9.600000000000364, -8.150000000000546, ' 6729.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-05', ' USD_JPY', 'sell', ' 79.952', ' 79.87049999999999', ' 80.09700000000001', ' 79.561', ' 79.8817650156148', 0.41749999999998977, 0.0274999999999892, 0.0764999999999958, 0.40500000000000114, 0.20999999999997954, -0.7040000000000077, 0.005254678866751284, 0.0003444259358990669, 0.0009587187006541318, 0.0050965513335976135, 0.002636187319938734, -0.008737255583342221, 101.55391196454956, 87.80159880807683, 58.44153675638498, 82.54949735234817, 86.05060788103371, 82.01535220065608, 115.3567993935281, 117.97201290361336, 37.9035791328096, 84.6491022508842, -225.7574780270586, -24.16569983357363, -0.002267276270424399, 0.00546348341127816, 0.010251707563875416, 0.01069914583992391, 79.84975, 0.291499999999985, 2132, 6081, 6984, -6189, -59, 12.299846153846154, 5.922148148148148, 6.377698005698006, 50.44945881489321, 78.86810000000003, 80.33770000000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -8.150000000000546, -21.649999999999636, ' 13769.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-06', ' USD_JPY', 'sell', ' 79.8725', ' 79.656', ' 80.02199999999999', ' 79.499', ' 79.7248615785623', -0.19899999999999807, 0.20300000000000296, -0.1869999999999976, -0.019499999999993634, 0.19050000000001432, -0.004500000000007276, -0.002492016780414477, 0.0025549696046719816, -0.002342096364114545, -0.00024474273772983707, 0.002397266738396088, -5.648972828449828e-05, 43.877542065807624, 26.148778212747, 62.34002516635921, 41.02082750475969, -21.150270445163578, 28.35576559566775, 58.58683835391138, 70.54044166361811, 76.60341886117021, 75.80809338133837, 18.92967545956004, 51.37331089154721, -0.00961096122045526, -0.004946784590016498, 0.0027632133842756252, 0.007538578294965894, 79.70824999999999, 0.46649999999999636, -4369, 2132, 6081, 6984, -6189, 12.28776923076923, 5.916333333333332, 6.371435897435898, 24.520259422072233, 78.90124000000002, 80.33191000000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -21.649999999999636, -18.44999999999999, ' 10934.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-08', ' USD_JPY', 'buy', ' 79.685', ' 79.5005', ' 79.763', ' 79.42750000000001', ' 79.58482831916285', -0.4484999999999957, -0.3545000000000016, 0.04749999999999943, 0.19299999999999784, -0.17499999999999716, 0.0350000000000108, -0.0056098262642434015, -0.004439296224406757, 0.000597837715378896, 0.002433565551807809, -0.0021964091847556295, 0.0004404427078419038, -24.732613707853176, -11.911039402106795, 12.14285466472329, -7.9590234567082945, 33.912242429207176, 7.1074944620257625, 59.14892358533678, 7.598270590812329, 28.06672658160698, 43.237076934377406, 48.50947633071726, 45.24170883255368, -0.013329279114359978, -0.01154434345820537, -0.006889271973217462, 0.000805674973091805, 79.547875, 0.23000000000000398, -863, -4369, 2132, 6081, 6984, 12.254769230769233, 5.900444444444444, 6.3543247863247885, -10.37939058248336, 78.91292000000003, 80.32753000000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -18.44999999999999, 7.149999999998613, ' 1529.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-09', ' USD_JPY', 'sell', ' 79.4975', ' 79.56899999999999', ' 79.77350000000001', ' 79.476', ' 79.61097532773603', -0.3015000000000043, -0.38000000000000966, -0.2860000000000156, -0.22500000000000853, 0.26149999999998386, -0.10650000000001114, -0.0037748605555243094, -0.004753030056661243, -0.003581491453259227, -0.0028197608842771204, 0.0032972921854803623, -0.0013366718752943019, 1.4925370349709517, 19.01756668614801, -6.417110583660353, 2.8199150386252056, 26.122443648477525, 7.065956699929374, 50.55914649097595, 14.520658791034661, 73.72338856949023, 23.6167576277325, 41.511277426638344, 55.264604162368165, -0.0011486244751165856, -0.012479134217401436, -0.010692660607492492, -0.006033578174187006, 79.596875, -0.13150000000003104, -2544, -863, -4369, 2132, 6081, 12.230846153846155, 5.888925925925926, 6.341920227920229, -9.378770156276907, 79.04671, 80.27844, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 7.149999999998613, -20.750000000001023, ' 6789.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-10', ' USD_JPY', 'buy', ' 79.566', ' 79.35849999999999', ' 79.576', ' 79.215', ' 79.4121793414577', -0.29750000000001364, -0.5120000000000005, -0.5905000000000058, -0.48450000000001125, -0.43550000000000466, 0.05099999999998772, -0.003734809681631184, -0.006410376797440864, -0.007385958548574789, -0.006068158761569721, -0.005457803844900678, 0.0006430665447780818, -26.864239605308683, -28.97544581522472, -37.77984369779302, -28.403465366677693, -62.700517994511536, -42.448200432537746, -131.53983987389663, -46.8080348594099, 25.77986747735433, -32.60250194768788, 28.93616405613446, -25.60793611346928, -0.0013464962782591104, -0.003791088431531573, -0.015091623280318316, -0.013309875791070507, 79.377, -0.06100000000003547, -1749, -2544, -863, -4369, 2132, 12.241384615384614, 5.893999999999999, 6.347384615384615, -70.62701350758525, 79.086085, 80.26736500000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -20.750000000001023, 25.099999999999056, ' 8534.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-11', ' USD_JPY', 'sell', ' 79.3555', ' 79.6065', ' 79.793', ' 79.13', ' 79.47425732524069', 0.10599999999999454, -0.04950000000000898, -0.2639999999999958, 0.15349999999999397, -0.2365000000000066, -0.1875, 0.00133332494764177, -0.0006214221150950208, -0.00330535053618039, 0.001931959774961222, -0.002962063048733221, -0.0023498007368975113, 53.353188270283646, 68.55581438848644, 20.554489377727176, 39.25773637392634, 8.488804386415184, 27.46549401147534, 53.290666674466934, 30.225264896299265, -39.51761056860232, 15.849519805661542, 54.97350736038705, 22.915521155417224, -0.0008660127642751236, 0.0017743549087340463, -0.0006778767394130874, -0.012013726427095466, 79.53399999999999, -0.04300000000002058, 4179, -1749, -2544, -863, -4369, 12.209, 5.878407407407407, 6.330592592592593, -48.30651937732349, 79.16167999999999, 80.24992, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 25.099999999999056, -28.350000000000364, ' 9556.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2012-07-12', ' USD_JPY', 'sell', ' 79.6095', ' 79.326', ' 79.96199999999999', ' 79.179', ' 79.43207237541937', -0.242999999999995, -0.17450000000000898, -0.3300000000000125, -0.5290000000000106, -0.12700000000000955, -0.5170000000000101, -0.0030539531727179557, -0.0021949547487123853, -0.004142814100632878, -0.006624506918790439, -0.0015984292600658193, -0.006475207594905127, -50.42015111927653, 3.296784203510113, -30.253344186787682, -16.641860461940226, -33.078387556714254, -37.917294287592824, -23.469382965433468, -46.23433787034251, 2.010968553752685, -30.949589884966134, -143.5992046014043, -55.01920633769502, 0.00023326923683118062, -0.0043865429146978194, -0.0017554787926835947, -0.004199069802474498, 79.44825, 0.009499999999988518, -7632, 4179, -1749, -2544, -863, 12.247153846153847, 5.8967777777777775, 6.350376068376069, -66.08240449372829, 79.19626, 80.24194, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -28.350000000000364, -14.399999999999125, ' 12221.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
