'2013-01-02', ' USD_JPY', 'buy', ' 86.7575', ' 87.2805', ' 87.35650000000001', ' 86.757', ' 87.14554910149049', 1.3885000000000076, 0.7815000000000083, 1.589500000000001, 3.0430000000000064, 2.8485000000000014, 3.043999999999997, 0.016165649885903317, 0.009034786529324134, 0.01854920586759404, 0.036124054013948734, 0.03373720864127347, 0.03613635419325348, 208.85218171759948, 283.57553748670347, 161.84082820317965, 279.97454764842473, 262.2779245268649, 210.990311482548, 586.9638787369026, 1102.0845529711162, 576.6440848829526, 1112.9610370060511, 495.54558343792155, 553.0511823525923, 0.03998832283778883, 0.037176775358874446, 0.04508770879482731, 0.043083100788163846, 87.168625, -0.14550000000001262, 33604, 17844, 3282, -33445, 29561, 13.325769230769232, 6.416111111111111, 6.909658119658121, 166.974008339256, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 52.300000000001035, 43.79999999999882, ' 45019.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-03', ' USD_JPY', 'buy', ' 87.28', ' 87.71799999999999', ' 87.775', ' 86.7685', ' 87.12191899113658', 1.742999999999995, 1.8259999999999934, 1.218999999999994, 3.2959999999999923, 3.480499999999992, 3.285999999999987, 0.020273335271881306, 0.02125925580962131, 0.01409264846992444, 0.03904195588827548, 0.041317702923282296, 0.038918893310592985, 596.2262420243155, 327.57327608695283, 274.49358222151193, 365.6377290042846, 203.78713290631276, 358.1689857173801, 2498.153137894218, 1143.577452150881, 662.0067475117085, 1261.5818019133587, 650.4214754769816, 1270.1937869609694, 0.03977478144910348, 0.04520134168210707, 0.04237570111227289, 0.05032628869065424, 87.49487500000001, -0.133000000000024, 34015, 33604, 17844, 3282, -33445, 13.427769230769233, 6.465222222222222, 6.962547008547011, 154.53862056886877, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 43.79999999999882, 43.80000000000024, ' 38360.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-04', ' USD_JPY', 'buy', ' 87.717', ' 88.155', ' 88.4115', ' 87.5625', ' 88.00981362662296', 1.5374999999999943, 2.180000000000007, 2.2630000000000052, 3.3845000000000027, 3.733000000000004, 3.917500000000004, 0.01775045458481247, 0.02535620820005824, 0.026347040469426784, 0.039925445762381995, 0.044218331714482056, 0.04650541623386264, 279.68172831312705, 216.8768664891048, 723.0767131852865, 411.9842437358177, 340.0599639819952, 447.60613516013626, 705.0643268758074, 434.80235039149534, 2820.662124972447, 1293.127892390477, 736.963853007919, 1420.896768285391, 0.0465178396538317, 0.04495480811972149, 0.05040840279060354, 0.04756868523623919, 88.071, -0.313500000000019, 18837, 34015, 33604, 17844, 3282, 13.495076923076923, 6.497629629629628, 6.997447293447294, 158.94083295071917, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 43.80000000000024, 6.1499999999995225, ' 47598.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-06', ' USD_JPY', 'sell', ' 88.1545', ' 88.216', ' 88.3765', ' 88.1125', ' 88.26355729741664', 0.9354999999999905, 1.5984999999999872, 2.2409999999999997, 2.5249999999999915, 3.4454999999999956, 3.793999999999997, 0.010718316233293695, 0.01845470026264885, 0.026065716778133175, 0.029466338355253075, 0.04064503571407501, 0.04494089218450163, 243.36943396672896, 154.71917370303257, 287.1480676685313, 224.77756284628893, 740.7835295258313, 423.76701038703055, 360.0313103415578, 320.25919111311674, 716.2982106264719, 442.6211777616656, 2865.680541933017, 1314.003354300349, 0.04481713094561294, 0.04724199129830878, 0.04567787820417836, 0.05113524656089699, 88.23025, -0.4520000000000124, -977, 18837, 34015, 33604, 17844, 13.562307692307693, 6.529999999999999, 7.032307692307693, 146.28926324809487, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 6.1499999999995225, -94.5999999999998, ' 4529.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-07', ' USD_JPY', 'sell', ' 88.214', ' 87.268', ' 88.232', ' 87.235', ' 87.78746515459578', -0.44999999999998863, -0.012500000000002842, 0.6504999999999939, 0.7690000000000055, 1.5769999999999982, 2.4975000000000023, -0.005130075925123563, -0.00014321641145505402, 0.007510029728403542, 0.00889027618816409, 0.01840333290543929, 0.029461900071369194, 49.62741682787675, -101.64889654460717, 85.2376838636041, 33.392412232372926, 171.11381014518648, 101.99297027888912, 160.64236235451838, 277.740420846454, 260.9717595640814, 209.53027835012426, 541.7126074194039, 321.1089097793345, 0.03597566404511059, 0.0335891605078643, 0.035987962462827795, 0.03444065787524082, 87.50075000000001, -0.16250000000000853, -39956, -977, 18837, 34015, 33604, 13.571692307692308, 6.534518518518517, 7.03717378917379, 101.96512665102898, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -94.5999999999998, -34.849999999998715, ' 42789.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-08', ' USD_JPY', 'buy', ' 87.26599999999999', ' 86.9175', ' 87.81200000000001', ' 86.827', ' 87.33019441238595', -1.2374999999999972, -0.8004999999999853, -0.36299999999999955, 1.025500000000008, 0.41850000000000875, 1.2265000000000015, -0.014037774374680928, -0.009125835062358758, -0.0041590045886538175, 0.011939412285195456, 0.004838206222037351, 0.014313055046621016, -75.97172250038524, -186.822866536252, 14.803773988696127, -171.27309740145552, 26.772305792775906, -11.465214239637737, 154.3885739852087, 215.48736486754254, 127.03737995806469, 215.09550531920948, 224.34689400764117, 168.59094931697152, 0.029559830375968432, 0.03181480931889012, 0.02943789084707222, 0.0318270583416927, 87.11850000000001, 0.12350000000000705, -37484, -39956, -977, 18837, 34015, 13.425846153846155, 6.464296296296296, 6.961549857549859, 74.6732196368499, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -34.849999999998715, 120.19999999999982, ' 45923.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-09', ' USD_JPY', 'buy', ' 86.9195', ' 88.1215', ' 88.18950000000001', ' 86.9045', ' 87.65174498800643', -0.09449999999999648, -0.03350000000000364, 0.4035000000000082, 2.146500000000003, 2.2295000000000016, 1.6225000000000023, -0.0010712342432211445, -0.00038001247802170766, 0.004599968079527671, 0.024966560046525192, 0.02595701578726775, 0.01875744228256977, 3.4090896177692676, 74.58237913492658, 65.84215950033399, 52.72266348347531, 134.42621615238696, 67.89248842349674, 713.3524779818703, 405.513380083101, 335.03370817198066, 441.32251592393203, 242.47361050109015, 430.2865988849803, 0.03953026111678, 0.043821515718651546, 0.04610773111737647, 0.043697887057039926, 87.83425, 0.022499999999993747, 40631, -37484, -39956, -977, 18837, 13.371923076923078, 6.4383333333333335, 6.933589743589745, 93.00823202424507, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 120.19999999999982, 118.50000000000023, ' 45441.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-10', ' USD_JPY', 'sell', ' 88.1185', ' 89.3035', ' 89.34649999999999', ' 87.98349999999999', ' 88.39484094482495', 2.035499999999999, 1.0875000000000057, 1.1484999999999985, 2.685999999999993, 3.3285000000000053, 3.4115000000000038, 0.02332470092129989, 0.012327695656116869, 0.013028188985309948, 0.031009899847028517, 0.038714742657749414, 0.039718483677176036, 207.47239644208668, 215.1954277297721, 451.13619275145027, 303.3432944884945, 205.06475794290154, 287.89111571214613, 420.2569865046485, 365.63014134528584, 1056.4583290396824, 633.8286289640067, 512.3780176477, 663.0311110640104, 0.04215728606271367, 0.053473791000406994, 0.057822605481983404, 0.060139486570707855, 88.98424999999999, -0.1110000000000042, 51841, 40631, -37484, -39956, -977, 13.557153846153847, 6.527518518518518, 7.029635327635329, 133.87237299099297, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 118.50000000000023, -11.750000000000682, ' 55333.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-11', ' USD_JPY', 'hold', ' 89.3005', ' 89.18299999999999', ' 89.44999999999999', ' 88.7415', ' 89.0626430738901', 2.2654999999999887, 1.914999999999992, 0.9669999999999987, 1.9024999999999892, 2.565499999999986, 3.2079999999999984, 0.026064946644806727, 0.0219438969610853, 0.010961730298358561, 0.02179753782345414, 0.029618726008023618, 0.03731317243384703, 239.18779297585473, 168.16911662396902, 195.38613887801952, 203.96303105076777, 405.49227064687193, 280.02206750024874, 404.67049129766, 278.477589675742, 405.5079063025768, 350.02302804953405, 1021.4801098751574, 610.5528358251314, 0.031029260453878053, 0.0407510707075421, 0.05205230593189841, 0.05639525242235431, 89.139375, 1.1565000000000083, 12743, 51841, 40631, -37484, -39956, 13.739, 6.615074074074074, 7.123925925925927, 130.70644881206096, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -11.750000000000682, 0.0, ' 51739.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-12', ' USD_JPY', 'buy', ' 89.18299999999999', ' 89.18299999999999', ' 89.18299999999999', ' 89.18299999999999', ' 89.18299999999999', 1.0614999999999952, 2.2654999999999887, 1.914999999999992, 1.4650000000000034, 1.9024999999999892, 2.565499999999986, 0.012045868488393811, 0.026064946644806727, 0.0219438969610853, 0.016701247178458282, 0.02179753782345414, 0.029618726008023618, 177.31516129842905, 109.21143252381977, 239.18779297585473, 168.16911662396902, 195.38613887801952, 203.96303105076777, 239.8906865483653, 278.7515161254793, 404.67049129766, 278.477589675742, 405.5079063025768, 350.02302804953405, 0.03831555907418615, 0.031029260453878053, 0.0407510707075421, 0.05205230593189841, 89.18299999999999, 1.1995000000000005, 0, 12743, 51841, 40631, -37484, 13.720461538461539, 6.606148148148147, 7.1143133903133915, 119.15353489657913, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 0.0, 22.150000000000603, ' 1.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-13', ' USD_JPY', 'hold', ' 89.28049999999999', ' 89.502', ' 89.6745', ' 89.2195', ' 89.48079922965816', 0.19849999999999568, 1.3804999999999978, 2.5844999999999914, 1.3469999999999942, 1.784000000000006, 2.221499999999992, 0.002222757226760381, 0.015665870417548473, 0.029735093623263337, 0.015279904713289027, 0.020337901000934886, 0.02545242064378632, 111.40864919965915, 106333406.24936207, 202.14006209026556, 140.29604856032415, 271.5735764899882, 195.04076259330432, 228.4452027744151, 327.3842948723746, 271.58467247047315, 342.1184778183039, 457.8814915960752, 319.3037889469878, 0.04102355335853447, 0.04202952545056582, 0.034717164360281626, 0.04447374870173055, 89.47449999999999, -0.17249999999999943, 2008, 0, 12743, 51841, 40631, 13.720461538461539, 6.606148148148147, 7.1143133903133915, 120.27033693453734, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 22.150000000000603, -4.650000000000887, ' 8308.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-14', ' USD_JPY', 'sell', ' 89.5005', ' 89.454', ' 89.64500000000001', ' 89.08349999999999', ' 89.39140990719537', 0.2710000000000008, 0.15049999999999386, 1.332499999999996, 1.2379999999999995, 1.2989999999999924, 1.7360000000000042, 0.003038695715551179, 0.001685264295352297, 0.015121167932910766, 0.01403373537680239, 0.01473540922239229, 0.019790692902255005, 100.56455884762825, 90333384.03433664, 107.88700602443109, 90333402.81718856, 198.4046538206474, 135.61873956423557, 508.1437469152541, 332.47063607962014, 222.79149319299083, 317.834306964611, 266.8156714539803, 332.5836371874084, 0.03274742401939546, 0.040465251526606565, 0.04147068411493501, 0.03416224465022715, 89.40912499999999, 0.1980000000000075, 13261, 2008, 0, 12743, 51841, 13.769538461538462, 6.629777777777777, 7.139760683760684, 109.33936920617221, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -4.650000000000887, -68.94999999999953, ' 41485.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-15', ' USD_JPY', 'sell', ' 89.451', ' 88.7615', ' 89.632', ' 88.2875', ' 88.83172874316608', -0.42149999999999466, -0.42149999999999466, -0.5420000000000016, 1.4934999999999974, 0.5455000000000041, 0.6064999999999969, -0.004726237063117351, -0.004726237063117351, -0.0060691910171494015, 0.01711394783884124, 0.006183685499229211, 0.006879927400601179, -421499999.9999947, -140500052.66856554, 2.822864809757458, -140500032.61214945, 57.079966465153305, -140499980.03238782, 153.10931262694947, 164.6729464018052, 245.833240214686, 198.4461573297517, 141.22495391932142, 180.05583558698564, 0.01696828042919088, 0.024752503824284827, 0.032410584472230344, 0.03340823359567832, 88.860625, 0.8445000000000107, -19526, 13261, 2008, 0, 12743, 13.762153846153845, 6.626222222222221, 7.135931623931624, 78.80724449692931, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -68.94999999999953, -8.849999999999625, ' 66214.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-16', ' USD_JPY', 'buy', ' 88.7625', ' 88.674', ' 88.7815', ' 87.79400000000001', ' 88.27456787071094', -0.8279999999999887, -0.5089999999999861, -0.5089999999999861, 1.7565000000000026, 1.406000000000006, 0.4580000000000126, -0.009251189917543617, -0.005707365753562743, -0.005707365753562743, 0.020208818707394972, 0.016111289361507148, 0.0051918019406911745, -119.89008354063921, -54.69099313469318, -508999999.9999862, -169666730.93990317, -9.527168732932674, -169666709.80574617, 187.51267131850878, 125.29241506161422, 144.33298452026307, 156.51664175937591, 212.68931337526703, 181.5116564046796, 0.01089856129870742, 0.015965765549005827, 0.023742315351978523, 0.03139284675777857, 88.480875, 1.3539999999999992, 51890, -19526, 13261, 2008, 0, 13.655615384615386, 6.574925925925926, 7.08068945868946, 48.334300969179836, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -8.849999999999625, 114.40000000000055, ' 66332.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-17', ' USD_JPY', 'buy', ' 88.67699999999999', ' 89.821', ' 90.13550000000001', ' 88.137', ' 89.23073940430127', 0.36700000000000443, 0.3190000000000026, 0.6380000000000052, 1.6995000000000005, 2.903499999999994, 2.5529999999999973, 0.004102667292686794, 0.003564166163884635, 0.007153829765762593, 0.019285872346703137, 0.033405240601719954, 0.029254709630104934, 131.3445892529637, 150.22255104294882, 132.19777314334738, 125.8665414245973, 638000000.0000052, 212666754.51412252, 226.96496288210207, 171.38066459682855, 303.95936000412166, 221.9124085626396, 259.3781083873511, 263.4341437578583, 0.01889853099654015, 0.023974554823411487, 0.029107303464118495, 0.036984443097526375, 89.47862500000001, 0.5654999999999859, 53307, 51890, -19526, 13261, 2008, 13.642153846153848, 6.568444444444444, 7.0737094017094035, 94.93517849675041, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 114.40000000000055, 25.899999999998613, ' 77791.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-18', ' USD_JPY', 'buy', ' 89.82300000000001', ' 90.082', ' 90.214', ' 89.631', ' 89.94235110517573', 1.3204999999999956, 0.6280000000000001, 0.5799999999999983, 0.778499999999994, 1.9604999999999961, 3.1644999999999897, 0.014876945522551957, 0.007020368010374049, 0.00648030211615381, 0.008717463481274463, 0.022247692106920517, 0.036408088129548016, 133.46968140798091, 154.16294928370175, 177.82721677163818, 180.9976924161209, 189.56039789881373, 166.95243202614427, 153.96183756699665, 299666781.0547841, 247.27624534814962, 196.81353226305882, 330.45681924295747, 243.89830071936794, 0.021152625374081798, 0.021859225228290993, 0.02694999885998318, 0.03209766213529929, 90.00225, -0.44650000000001455, 31958, 53307, 51890, -19526, 13261, 13.818615384615384, 6.653407407407407, 7.165207977207977, 122.04611573297953, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 25.899999999998613, 10.300000000000864, ' 58407.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-01-20', ' USD_JPY', 'sell', ' 90.082', ' 90.185', ' 90.249', ' 90.07249999999999', ' 90.14708012213097', 1.5109999999999957, 1.4235000000000042, 0.7310000000000088, 1.0020000000000095, 0.8815000000000026, 2.0635000000000048, 0.017039944064776547, 0.016037358539456908, 0.008171797795515112, 0.011235325118015874, 0.009870833729921029, 0.023416532855205653, 242.12655775933922, 146.54304098781355, 141.13052129932848, 161.91131052473716, 196.17093567747708, 193.14267157871492, 203.74026764428513, 334000138.64601094, 161.51869688050724, 334000121.7529914, 255.29180892670558, 206.850257817166, 0.03342576889581521, 0.022320214020132498, 0.023027621802506962, 0.02812421623840048, 90.172875, -0.19599999999999795, 1304, 31958, 53307, 51890, -19526, 13.85876923076923, 6.67274074074074, 7.18602849002849, 122.23634867444987, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 10.300000000000864, -55.45000000000044, ' 4749.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
