'2013-07-01', ' USD_JPY', 'buy', ' 99.44999999999999', ' 99.62049999999999', ' 99.869', ' 99.179', ' 99.55180294185644', 1.1154999999999973, 1.9729999999999848, 1.4579999999999984, 1.7219999999999942, 2.6064999999999827, 3.0349999999999966, 0.0113242982589716, 0.020205330397603468, 0.014852922450019086, 0.017589646419505858, 0.026867256272290415, 0.03142293615501288, 195.6252785900809, 145.29477258213043, 256.05161311978173, 189.67615932518524, 208.28446984881006, 219.98712051955758, 221.6481983068291, 220.08154304090044, 164.05761517130216, 221.01588085556804, 217.86119600176508, 201.18900315996544, 0.05336590059583284, 0.056006656985064227, 0.05876757606997464, 0.042240775033217146, 99.57225, -0.3404999999999916, 19358, 3146, 35022, 73194, -12525, 15.300076923076924, 7.3667037037037035, 7.9333732193732205, 115.88470005503602, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 17.05000000000041, 114.09999999999911, ' 69208.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-02', ' USD_JPY', 'sell', ' 99.62', ' 100.761', ' 100.85650000000001', ' 99.51050000000001', ' 100.15348680006727', 1.625, 2.2560000000000002, 3.1134999999999877, 2.3654999999999973, 2.862499999999997, 3.7469999999999857, 0.01639162362814719, 0.022902390741586724, 0.03188509690468253, 0.02404073357013275, 0.029239467407570056, 0.038623291483703234, 233.07963134656129, 306.736973316924, 304.08936718122783, 331.67498601382266, 378.75197646562725, 305.30699166447215, 459.96790072570815, 331.7204295327479, 315.17012585730595, 337.636856724752, 218.82351890403174, 331.3205151623486, 0.05409561669630706, 0.06542530412853495, 0.06809629307694762, 0.07088882039727484, 100.47225, -0.3440000000000225, 66340, 19358, 3146, 35022, 73194, 15.326230769230769, 7.379296296296295, 7.9469344729344735, 140.21938330694192, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 114.09999999999911, -94.65000000000146, ' 77311.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-03', ' USD_JPY', 'buy', ' 100.76050000000001', ' 99.814', ' 100.8235', ' 99.2595', ' 99.99303661781863', 0.3634999999999877, 0.6779999999999973, 1.3089999999999975, 2.1875, 1.4184999999999945, 1.9154999999999944, 0.003655084690373479, 0.006839089735313078, 0.013288665549972057, 0.022406826015477357, 0.014416309688959298, 0.019566183342952084, 179.73563003359175, 98.10429725379343, 136.9862874696808, 136.25029655766193, 214.0275592936205, 176.91649226563104, 174.23682158759996, 224.8378799960378, 308.326611957302, 235.32366572357566, 237.5153556772958, 240.02626307406592, 0.033426342463413215, 0.04418872266973522, 0.055411928288579756, 0.058057814007229445, 99.92775, 0.45899999999997476, -31922, 66340, 19358, 3146, 35022, 15.501692307692307, 7.463777777777777, 8.03791452991453, 114.4409429228212, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -94.65000000000146, 43.45000000000141, ' 109728.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-04', ' USD_JPY', 'buy', ' 99.8115', ' 100.24600000000001', ' 100.3365', ' 99.494', ' 99.93151060413554', 0.6255000000000166, 0.7955000000000041, 1.1100000000000136, 2.083500000000015, 2.6195000000000164, 1.850500000000011, 0.006278828152840195, 0.007998954253623703, 0.011196739832149912, 0.021225009550490413, 0.026831854056019795, 0.018806754373929813, 154.63765874816698, 90.78549534720234, 306.6078394690741, 171.96296065776824, 180.82189945998053, 214.0224658924072, 257.1707497326504, 278.5427735647459, 203.22038220594658, 261.24566067862315, 377.50194115260695, 279.29769103040127, 0.033314779310202644, 0.037899063524028075, 0.04870802385186741, 0.05997980406773582, 100.080625, -0.022999999999996135, 56235, -31922, 66340, 19358, 3146, 15.356, 7.393629629629629, 7.962370370370371, 104.46750415506527, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 43.45000000000141, 94.14999999999907, ' 71623.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-05', ' USD_JPY', 'buy', ' 100.2475', ' 101.189', ' 101.247', ' 99.892', ' 100.69701860252529', 0.42799999999999727, 1.5685000000000002, 1.7384999999999877, 3.541499999999985, 3.0264999999999986, 3.5625, 0.0042476751917904475, 0.015744751331302296, 0.017481058415995773, 0.03626820963158283, 0.03083152935184005, 0.03649111665377741, 124.70281391509413, 149.75309699494338, 291.30430560807133, 179.7922256174925, 583.5534262691975, 333.18684859745434, 424.7982329426298, 348.7002369439235, 330.87140829453597, 366.82092036188465, 266.4877379075655, 340.7191263815771, 0.0336113423596888, 0.0430350258725543, 0.04766243380217525, 0.05857307249712302, 100.87925, -0.6354999999999933, 80022, 56235, -31922, 66340, 19358, 15.42246153846154, 7.42562962962963, 7.99683190883191, 123.5026249383643, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 94.14999999999907, 22.799999999999443, ' 87515.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-07', ' USD_JPY', 'sell', ' 101.265', ' 101.493', ' 101.535', ' 101.22200000000001', ' 101.4198901047261', 1.679000000000002, 0.7319999999999993, 1.8725000000000023, 2.9879999999999995, 3.845499999999987, 3.3305000000000007, 0.016821287594926584, 0.0072647155149313655, 0.018796332080244553, 0.030333485609867518, 0.03938144857779243, 0.03392843499299632, 142.8068962399684, 166.0772901936125, 147.28825057293696, 175.78838277462785, 335.3622702373523, 208.48580568341922, 373.7041965093464, 451.29823566923534, 457.5039852066694, 379.52160742278664, 354.63068740674566, 395.2796230409205, 0.03148009817522139, 0.036716599335025524, 0.04616859422351397, 0.050809904178163376, 101.43574999999998, -0.10000000000000853, 5449, 80022, 56235, -31922, 66340, 15.567538461538462, 7.49548148148148, 8.072056980056981, 134.05833067151522, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 22.799999999999443, -55.29999999999973, ' 7448.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-08', ' USD_JPY', 'buy', ' 101.4935', ' 100.9405', ' 101.494', ' 100.771', ' 101.11278471268876', 0.6944999999999908, 1.1265000000000072, 0.17950000000000443, 1.8045000000000044, 2.4355000000000047, 3.292999999999992, 0.006927957225225852, 0.011285991945017806, 0.0017814432171177781, 0.01820226759199488, 0.024724633267346884, 0.033723341611408296, 171.6913742799554, 53.04512295570979, 107.48081154214792, 118.85075130404509, 106.24070533129891, 128.47096371780074, 251.2937340138268, 339.05202978818926, 321.16021672275457, 361.00882933779417, 398.0634321610063, 323.5057942991959, 0.03394570121841926, 0.02586500398900358, 0.031072999075573187, 0.04047353990145742, 101.0365, 0.12749999999999773, -37914, 5449, 80022, 56235, -31922, 15.614307692307692, 7.517999999999999, 8.096307692307693, 109.83382065958754, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -55.29999999999973, 24.100000000001387, ' 71386.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-09', ' USD_JPY', 'sell', ' 100.939', ' 101.18', ' 101.297', ' 100.8315', ' 101.12266333609294', -0.00899999999998613, 0.9339999999999975, 1.3660000000000139, 1.7295000000000016, 2.044000000000011, 2.6750000000000114, -8.89424739841893e-05, 0.009317079983241201, 0.013685454946200071, 0.0173905611334282, 0.020618140735958797, 0.027155981929851393, 95.05534353835155, 46.06888583527226, 200.11867060906044, 93.91849602768076, 122.79410979577384, 139.32270798106194, 580.9102552392958, 331.6481264432073, 275.59611612418945, 382.1687764448358, 343.93719981576675, 400.1478570597507, 0.030739844645358592, 0.03639892856959959, 0.02829905839189809, 0.03351941040976122, 101.12212500000001, -0.14449999999999363, 34840, -37914, 5449, 80022, 56235, 15.529307692307693, 7.477074074074074, 8.052233618233618, 101.41893924769458, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 24.100000000001387, -216.10000000000014, ' 70058.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-10', ' USD_JPY', 'sell', ' 101.17949999999999', ' 99.01849999999999', ' 101.1935', ' 98.233', ' 100.00668217420191', -2.474500000000006, -2.170500000000004, -1.2275000000000205, -0.6020000000000039, -0.43200000000001637, -0.11750000000000682, -0.024380991792537478, -0.021449959975886747, -0.012244877601101494, -0.0060429329304711775, -0.004343869563250224, -0.001185240477727635, -703.9933853056606, -445.2865866893115, -64.46493989188669, -336.9503664723609, -56.43916244045672, -274.965829212668, -23.26086619407935, -25.074272846631086, -53.89132044308177, -37.901644269030704, 56.265849186619995, -6.962112483513708, 0.014040298010701563, 0.008720234305360954, 0.01425842368619172, 0.0063315903674455686, 99.365875, 0.4714999999999918, -67114, 34840, -37914, 5449, 80022, 15.566153846153847, 7.494814814814815, 8.071339031339033, 26.803537130120485, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -216.10000000000014, -18.500000000000227, ' 142995.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-11', ' USD_JPY', 'buy', ' 99.018', ' 98.833', ' 99.6255', ' 98.273', ' 99.02619898722723', -2.1075000000000017, -2.6599999999999966, -2.3559999999999945, -1.9279999999999973, -0.7874999999999943, -0.6175000000000068, -0.02087863642442827, -0.02620870404855504, -0.023283163189674716, -0.019134387312551456, -0.007904999472999979, -0.006209119109506808, -268.0497554564661, -225.70204178896935, -763.2585420899546, -486.87717119623454, -78.15497578192019, -369.82109110944697, -50.33432018318626, -52.020367797609474, -50.14492026885283, -42.5830198934373, -108.37001222613705, -69.61641755939205, 0.0033297802142023547, 0.012140607798458642, 0.006830510632879197, 0.012358324840079338, 98.89112499999999, 1.385499999999979, -24696, -67114, 34840, -37914, 5449, 15.233615384615383, 7.334703703703703, 7.898911680911681, -9.996547275073386, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -18.500000000000227, 37.95000000000073, ' 143665.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2013-07-12', ' USD_JPY', 'sell', ' 98.83449999999999', ' 99.214', ' 99.69800000000001', ' 98.67699999999999', ' 99.23252801756873', -1.9660000000000082, -1.7265000000000015, -2.2789999999999964, -0.5999999999999943, -1.546999999999997, -0.4064999999999941, -0.01943071753310939, -0.01710413560463839, -0.022454750573931172, -0.006011180796281026, -0.01535316243387816, -0.004080485442253292, -347.475757792541, -81.58820271443687, -215.3526673094519, -176.56404389214433, -641.5333413631771, -401.4539221550567, -2.9092069751149183, -28.72684035720188, -22.02823016135051, -19.390618185570904, 5.072463032975895, -6.621658034496512, 0.000786797934151095, 0.007197604182528838, 0.016042397398806835, 0.010711829873933574, 99.20075, 0.11599999999998545, 4101, -24696, -67114, 34840, -37914, 15.205076923076923, 7.3209629629629625, 7.884113960113961, -3.1054095570228855, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 37.95000000000073, -16.499999999999204, ' 79004.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
