'2014-01-01', ' USD_JPY', 'sell', ' 105.24549999999999', ' 105.33449999999999', ' 105.402', ' 105.21950000000001', ' 105.34535284523378', 0.03249999999998465, 0.17399999999999238, 0.42549999999999955, 1.1525000000000034, 1.296999999999997, 1.254499999999993, 0.00030863611327405603, 0.0016546136619737676, 0.00405589606230161, 0.011062371618897733, 0.012466658656734323, 0.012053228285933831, 84.06858624088915, 92.01527307099953, 126.05502274219752, 98.46544025056058, 190.95018304294052, 133.69126400867574, 336.16785012532654, 399.5817380496082, 1412.4337694983878, 730.7876976943734, 186.4095845247046, 645.0037347161397, 0.010771312324876098, 0.02628694470290777, 0.022273011806151887, 0.019981408139748726, 105.32262499999999, -0.2260000000000133, 718, 21152, -37067, 1792, 50576, 16.193384615384616, 7.796814814814815, 8.3965698005698, 115.88616744331513, 102.58438999999997, 105.57131, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 8.899999999999864, -49.099999999999966, ' 2759.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-02', ' USD_JPY', 'hold', ' 105.334', ' 104.843', ' 105.4435', ' 104.548', ' 105.10332090912618', -0.07250000000000512, -0.4590000000000032, -0.31749999999999545, 0.6000000000000085, 0.6610000000000156, 0.8055000000000092, -0.0006910323069518337, -0.004358891569011065, -0.0030191944694062454, 0.005755782162831159, 0.006344666065155359, 0.0077424005767152155, -4.090908347106352, -71.79738801066274, -156.86266820457604, -55.31785847177344, 35.8715530510912, -41.6940078335304, 260.7075379115296, 183.81740646008498, 230.3551710753141, 234.01875909236256, 903.107872426898, 464.7235271379139, 0.005273604172859129, 0.006054964879284537, 0.021498199958104626, 0.017502996423701588, 104.919375, 0.22749999999999204, -26387, 718, 21152, -37067, 1792, 16.20530769230769, 7.802555555555554, 8.402752136752138, 75.6198997786228, 102.779185, 105.580865, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -49.099999999999966, 1.0000000000005116, ' 77349.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-03', ' USD_JPY', 'buy', ' 104.841', ' 104.851', ' 104.8905', ' 104.0765', ' 104.43553282977398', -0.4060000000000059, -0.06450000000000955, -0.4510000000000076, 0.33799999999999386, 0.6080000000000041, 0.6690000000000111, -0.0038572256477004464, -0.0006147804661847825, -0.004282919602666688, 0.003234047439074506, 0.005832525925002198, 0.006421454761859162, -3.1818174586801407, -57.087890973441326, -2.6363631570244954, -69.2452927316885, -152.94110149946374, -52.91976070505613, 214.376230707721, 111.09224697261675, 263.6870526305168, 186.5414502861191, 232.07745272821268, 236.71357868881682, 0.007407763259031522, 0.005350311142646128, 0.006131731470464014, 0.02157614493869141, 104.66725, -0.29749999999999943, 55049, -26387, 718, 21152, -37067, 16.12969230769231, 7.766148148148148, 8.363544159544162, 38.040924159478465, 103.01148999999998, 105.58035999999998, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 1.0000000000005116, 9.000000000000341, ' 60966.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-05', ' USD_JPY', 'sell', ' 104.8235', ' 104.9135', ' 104.9345', ' 104.8095', ' 104.88997358640827', -0.42099999999999227, -0.3435000000000059, -0.0020000000000095497, 0.004500000000007276, 0.40049999999999386, 0.6705000000000041, -0.0039967911747812186, -0.0032634409112933666, -1.9062960191864402e-05, 4.2894317932753874e-05, 0.0038320591696726133, 0.0064320865669637685, -167.67114100212976, -8.010139440058131, 11.022724767560335, -38.61107791534538, 8.727271140496308, -49.30704836469104, 95.70133581417625, 7.401601564162235, 240.8032808442741, 128.43731571750587, 286.9645113726176, 207.82304267702264, 0.008420040850654857, 0.008008262874711769, 0.005949584344107396, 0.006731470464054003, 104.89275, -0.6135000000000019, 2501, 55049, -26387, 718, 21152, 16.13092307692308, 7.76674074074074, 8.364182336182338, 59.96608628767167, 103.08755000000001, 105.63735000000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 9.000000000000341, -68.95000000000095, ' 3767.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-06', ' USD_JPY', 'buy', ' 104.9135', ' 104.22399999999999', ' 104.952', ' 103.91300000000001', ' 104.39930686561065', -0.619000000000014, -1.1105000000000018, -1.0330000000000155, -0.9365000000000094, -0.6850000000000023, -0.2890000000000157, -0.005904066079757485, -0.010542604749630955, -0.009814074123336361, -0.008905435025508716, -0.006529468396419776, -0.0027652062422857987, -36.18090048231294, -162.15337828944035, -545.4791531621484, -187.8465542500538, -145.68178507232676, -242.4472795722627, -77.70640776029732, -218.2122140676228, -60.29410400585958, -199.43146792632436, -50.7399362621839, -62.9134826761136, 0.00040314065769520257, 0.001792622852336852, 0.0013835511145272026, -0.0006615976144134009, 104.32825, 0.28999999999997783, -31444, 2501, 55049, -26387, 718, 16.140538461538462, 7.77137037037037, 8.369168091168092, 0.027447344873347407, 103.232825, 105.588925, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -68.95000000000095, 49.30000000000092, ' 78347.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-07', ' USD_JPY', 'buy', ' 104.223', ' 104.71600000000001', ' 104.736', ' 104.1785', ' 104.4858506163294', -0.1349999999999909, -0.12699999999999534, -0.6184999999999832, -0.5859999999999985, -0.4444999999999908, -0.19299999999998363, -0.0012875413682272073, -0.0012113350438273927, -0.005871770407606085, -0.0055649465347286705, -0.0042268722571687165, -0.0018396896357794246, 78.56264391122394, 27.016182697752683, 18.760466916754858, 7.507723555979193, -275.890259786175, -59.5223829860654, -219.11753964826622, -93.3876605184305, 12.568805033247115, -77.91018261822896, 51.0180880049591, -51.843548870019994, 0.004537474938365293, 0.005125645504981862, 0.006521686891745898, 0.006110684089162278, 104.586625, 0.07499999999998863, 62427, -31444, 2501, 55049, -26387, 16.03446153846154, 7.720296296296295, 8.314165242165243, 14.34467409215732, 103.40300000000002, 105.56325000000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 49.30000000000092, 12.55000000000166, ' 67253.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-08', ' USD_JPY', 'hold', ' 104.71549999999999', ' 104.84100000000001', ' 105.12450000000001', ' 104.661', ' 104.85914208154621', -0.0724999999999909, -0.009999999999990905, -0.001999999999995339, -0.07450000000000045, -0.4609999999999985, -0.3194999999999908, -0.0006910454803241804, -9.537343468341652e-05, -1.9076142422434867e-05, -0.0007100952671435627, -0.0043778845605971254, -0.0030382130172449807, 25.199979840022767, 77.7835604237279, 93.91890738097031, 69.47850975006367, 32.719147658387406, 50.61267829312683, -4.4545446446261705, -72.43541183040519, -157.8430598808524, -55.91738291345171, 35.50458064136221, -42.26434129470545, 0.0031383655621788956, 0.005736596222288434, 0.006325468890979443, 0.007723176739156688, 104.86687500000001, -0.5194999999999936, -16451, 62427, -31444, 2501, 55049, 16.11015384615385, 7.7567407407407405, 8.353413105413109, 50.158117176525415, 103.62563999999999, 105.52076000000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 12.55000000000166, -0.7999999999981355, ' 73676.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-09', ' USD_JPY', 'sell', ' 104.84049999999999', ' 104.83250000000001', ' 105.06', ' 104.5745', ' 104.85822084898821', 0.6085000000000207, -0.08099999999998886, -0.01849999999998886, -0.42449999999999477, -0.08299999999999841, -0.4694999999999965, 0.005838386552041956, -0.0007720646056035578, -0.00017644085416437477, -0.004032985929676837, -0.00079111284795858, -0.004458604774838051, 88.4985477864738, 80.93633818349032, 18.39998528002005, 74.73597635493647, 92.8746814650278, 66.59107151050722, -7.386361957644789, -62.55702763863443, -5.999998909088627, -75.14701306431618, -162.0097245050355, -58.46536179058964, -0.0007292034048554613, 0.0030570359668175727, 0.00565505597498168, 0.006243880900731627, 104.824875, -0.02549999999999386, 3812, -16451, 62427, -31444, 2501, 16.129384615384616, 7.766, 8.363384615384616, 33.90142057995425, 103.94709999999998, 105.41890000000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -0.7999999999981355, -65.39999999999964, ' 60684.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-10', ' USD_JPY', 'hold', ' 104.832', ' 104.178', ' 105.3425', ' 103.82900000000001', ' 104.47888339358366', -0.5380000000000109, -0.04599999999999227, -0.7355000000000018, -1.156499999999994, -1.0790000000000077, -0.7375000000000114, -0.0051377057947210635, -0.0004413570770647094, -0.0070105372521172375, -0.010979308773478719, -0.010251099689331898, -0.007029466570716542, -0.08968608256794634, -61.98838320990435, 25.505291096698603, -26.263830748105022, -505.1995958403254, -159.9279969420649, -570.6846188029862, -199.84434262026159, -156.136328150838, -256.046213983019, -124.99997727272883, -283.94030807551763, -0.009342861625800579, -0.006967943646398256, -0.0032053428760059318, -0.0006235430676400116, 104.381875, 0.6069999999999993, -42777, 3812, -16451, 62427, -31444, 16.128076923076925, 7.765370370370371, 8.362706552706555, -40.62265984735778, 103.94131999999999, 105.42128, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -65.39999999999964, -4.950000000000898, ' 79391.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-12', ' USD_JPY', 'sell', ' 103.99000000000001', ' 103.9405', ' 104.138', ' 103.9405', ' 104.01009926289926', -0.9005000000000081, -0.7755000000000081, -0.2834999999999894, -0.9025000000000034, -1.3939999999999912, -1.3165000000000049, -0.008589196974466173, -0.007405745062836701, -0.002720102855388293, -0.008608109268143828, -0.013234030635736548, -0.012507481687678776, -155.44764715260794, -92.88920478869672, -42.690575302138534, -109.57507308141403, 2.646775491165933, -65.16381565452684, -67.83918840433438, -259.9154156332875, -700.8215337964627, -261.78944561862687, -210.11358861055118, -326.2581036037828, -0.012929479022240856, -0.011601314181655649, -0.0092318104261788, -0.005477787452278712, 103.989875, 0.4604999999999819, -4069, -42777, 3812, -16451, 62427, 16.027384615384616, 7.716888888888889, 8.310495726495727, -121.75231307826813, 103.88139500000001, 105.44595500000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -4.950000000000898, -82.5499999999991, ' 4070.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-01-13', ' USD_JPY', 'buy', ' 103.9395', ' 103.114', ' 104.0335', ' 102.857', ' 103.2779643145549', -1.718500000000006, -1.7270000000000039, -1.6020000000000039, -1.7369999999999948, -1.7289999999999992, -2.220499999999987, -0.016392817113013672, -0.016472563214772883, -0.015298521715879176, -0.016566365604524465, -0.016491325124233368, -0.02108046271639384, -300.8238309322677, -255.51537393591582, -333.7647607842937, -227.27669394094642, -190.9416697862452, -275.1767538342689, -118.243228717046, -517.1810008046663, -160.13398546800835, -544.9253763553063, -1153.6979979737644, -477.35840405293953, -0.017170961392739912, -0.020778332795198595, -0.019460729076031347, -0.01711006681981515, 103.27962500000001, 0.3684999999999974, -43931, -4069, -42777, 3812, -16451, 15.990846153846155, 7.699296296296296, 8.291549857549859, -213.69043885508756, 103.717175, 105.513575, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -82.5499999999991, 107.90000000000077, ' 78015.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
