'2014-07-01', ' USD_JPY', 'buy', ' 101.3105', ' 101.5505', ' 101.595', ' 101.296', ' 101.51496025375454', 0.1075000000000017, -0.09449999999999648, -0.27250000000000796, -0.5390000000000015, -0.5264999999999986, -0.367999999999995, 0.0010597084076772346, -0.0009297063308573612, -0.002676212643508912, -0.005279681064164302, -0.005157871018936672, -0.0036107281798691605, 70.42039927315282, 130.13525913190998, 17.971009283768172, 90.23721636235003, -22.306518268126958, 22.028296762931348, -540.2168041121766, -233.7650933572771, -70.54159298768855, -231.63426589415704, -73.65381782544561, -228.13740497510358, -0.006165559964963916, -0.0032782219081411127, -0.004153019397101263, -0.0046654545632752184, 101.498, 0.03100000000000591, 18987, -7340, 281, -5709, -2408, 15.58669230769231, 7.504703703703703, 8.081988603988606, -120.59970585437416, 101.43366999999999, 102.32698, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 23.99999999999949, 27.949999999999875, ' 27034.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-02', ' USD_JPY', 'buy', ' 101.5535', ' 101.833', ' 101.85300000000001', ' 101.412', ' 101.67178162908085', 0.39400000000000546, 0.39000000000000057, 0.1880000000000024, -0.054000000000002046, -0.2565000000000026, -0.24399999999999977, 0.003884107690336118, 0.003844523525526656, 0.00184957449948352, -0.0005299989203725897, -0.0025125012856366483, -0.002390352381045679, 494.4745917408185, 312.0625386192589, 155.25520863206899, 303.9480741163027, 99.85504352027655, 249.86161463105466, 4.5525888374911565, 23.99782276639195, -233.15192048704722, -74.86262382697245, 4.095111203405984, -74.83474014871669, -0.0007849832700441798, -0.003400844583849136, -0.0005054743361355684, -0.001382705395493021, 101.73275000000001, -0.06450000000000955, 22337, 18987, -7340, 281, -5709, 15.623153846153848, 7.5222592592592585, 8.10089458689459, -48.264853151555265, 101.44393000000001, 102.25097000000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 27.949999999999875, 37.400000000000944, ' 24566.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-03', ' USD_JPY', 'sell', ' 101.8325', ' 102.2065', ' 102.269', ' 101.785', ' 102.08349057869084', 0.8930000000000007, 0.7675000000000125, 0.7635000000000076, 0.28350000000000364, 0.319500000000005, 0.11700000000000443, 0.008814225152620338, 0.007566123483078624, 0.0075263941326657105, 0.002781511533216287, 0.0031358269455377527, 0.001146053218009731, 426.6517944265176, 303.7751440185678, 907.1813180317748, 546.1160202603531, 267.41733711191296, 533.7501498567351, 111.0314868104614, 165.31010647215854, 121.82099785840097, 136.54514518977928, 172.82589910229248, 135.22612792371828, 0.002825787271202097, 0.002879907371974081, 0.00025445168109385313, 0.003160441480303704, 102.11675, -0.08250000000001023, 22674, 22337, 18987, -7340, 281, 15.666615384615385, 7.543185185185185, 8.1234301994302, 82.0645503698538, 101.44700500000002, 102.23764500000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 37.400000000000944, -12.999999999999545, ' 30569.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-04', ' USD_JPY', 'hold', ' 102.20599999999999', ' 102.076', ' 102.215', ' 101.9725', ' 102.07863207858675', 0.5254999999999939, 0.7624999999999886, 0.6370000000000005, 0.2529999999999859, 0.1529999999999916, 0.18899999999999295, 0.005174765264572738, 0.007526144097282085, 0.006279636037421509, 0.002484703848835586, 0.0015011332084023388, 0.0018549962213039244, 260.8694779700765, 157.1867639239355, 369.162832967906, 260.1997234066234, 762.9825823397433, 464.3382977592419, 137.1775000978767, 178.56515516740444, 73.63894738138808, 127.03541773078659, 80.84769832097165, 97.22138193341215, -9.796526151873339e-06, 0.001545352413938577, 0.0015994034127145946, -0.001022700025934514, 102.08487499999998, 0.22849999999999682, -1773, 22674, 22337, 18987, -7340, 15.724076923076925, 7.5708518518518515, 8.153225071225073, 82.33580918274731, 101.44486000000002, 102.24694000000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -12.999999999999545, 5.400000000000205, ' 12114.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-06', ' USD_JPY', 'sell', ' 102.0655', ' 102.1195', ' 102.141', ' 102.045', ' 102.11494523269012', 0.28650000000000375, 0.5690000000000026, 0.8059999999999974, 0.47450000000000614, 0.29649999999999466, 0.19650000000000034, 0.002813429831194247, 0.005603123569061724, 0.00795550444906155, 0.0046682079787496306, 0.0029119157754141462, 0.0019279259833403682, 160.43080262339896, 96.7202967652615, 275.41796808764167, 168.32010889324243, 388.32582012077864, 274.7248636106064, 182.89849771057763, 411.7461813708234, 150.37931703207772, 191.52301119137405, 86.10312719108055, 139.7936473112453, 0.0002938597994896746, 0.00041635236145266786, 0.0019721640330264637, 0.0020262380658011363, 102.10625, 0.19549999999999557, 972, -1773, 22674, 22337, 18987, 15.704, 7.561185185185185, 8.142814814814816, 79.11707927618257, 101.46295000000002, 102.2693, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 5.400000000000205, -30.000000000001137, ' 1762.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-07', ' USD_JPY', 'sell', ' 102.12', ' 101.82', ' 102.202', ' 101.7875', ' 101.94747847369005', -0.3865000000000123, -0.01300000000000523, 0.26949999999999363, 0.37699999999999534, 0.17499999999999716, -0.0030000000000143245, -0.0037815598812209815, -0.00012765999234045183, 0.0026538520243622006, 0.003716372741342383, 0.001721678390476631, -2.9462891488311327e-05, 7.231403464585224, -96.67664146686036, 92.51698582380928, 12.287272427619184, 175.25077750810118, 91.66638893216525, 151.35130590050667, 295.9496082940088, 96.0869286704534, 242.51606710010245, 59.48404871500809, 102.3074277619894, -0.0006575912530549263, -0.0026398405320822204, -0.0025177072210194754, -0.0009664584937965273, 101.907375, -0.06300000000000239, -15158, 972, -1773, 22674, 22337, 15.710692307692309, 7.5644074074074075, 8.1462849002849, 27.01047507973736, 101.45992000000003, 102.25168000000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -30.000000000001137, -34.99999999999943, ' 17978.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-08', ' USD_JPY', 'hold', ' 101.8175', ' 101.4675', ' 101.861', ' 101.466', ' 101.65599726469351', -0.6084999999999923, -0.7390000000000043, -0.36549999999999727, 0.028500000000008185, 0.024500000000003297, -0.17749999999999488, -0.005961244562874645, -0.0072304599022567475, -0.003589209784647386, 0.0002809570283619534, 0.0002415149394241426, -0.0017462737960548466, -208.2473368052142, -295.6702130267285, -65.59916000017141, -291.8027900594707, 12.585031159855674, -87.08715521517665, 90.60763468769787, 83.02225069471349, 45.49548183318844, 79.06813118959361, -6.086954757400299, 43.338720587828675, -0.0044690599766490455, -0.004117306427709122, -0.006092693176085688, -0.005970982689538261, 101.5655, 0.034000000000006025, -21224, -15158, 972, -1773, 22674, 15.664615384615384, 7.542222222222222, 8.122393162393163, -71.48538476835061, 101.402015, 102.25893500000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -34.99999999999943, 5.949999999999989, ' 21387.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-09', ' USD_JPY', 'sell', ' 101.47', ' 101.5295', ' 101.862', ' 101.4455', ' 101.63003627292927', -0.5900000000000034, -0.5464999999999947, -0.6770000000000067, 0.21599999999999397, 0.0905000000000058, 0.08650000000000091, -0.005777544935100578, -0.005353853991143802, -0.006623844863095856, 0.002131996229525127, 0.0008921617918158282, 0.000852695602456561, -536.9786073139335, -194.3821046896323, -182.68033703903023, -260.63419880171904, -52.78924529147683, -257.4827298814802, 128.4140403462352, 77.71721486696684, 159.11584628083796, 121.87450199791834, 64.11409486063135, 117.21466049590151, -0.0028824528839261144, -0.003860757630760506, -0.003508789148762862, -0.005485382923807074, 101.591625, -0.33099999999998886, -13693, -21224, -15158, 972, -1773, 15.610384615384616, 7.516111111111111, 8.094273504273506, -60.36620104979053, 101.35251, 102.27294, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 5.949999999999989, -22.59999999999991, ' 22951.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-10', ' USD_JPY', 'hold', ' 101.5295', ' 101.3035', ' 101.57', ' 101.065', ' 101.33642350938061', -0.5164999999999935, -0.8160000000000025, -0.7724999999999937, -0.2469999999999999, -0.010000000000005116, -0.1354999999999933, -0.0050726772736200505, -0.007990638418715354, -0.00756789059132405, -0.0024322873841093827, -9.870352914473506e-05, -0.001335778152387083, -116.76716121419274, -64.00000685825337, -772.3950287551512, -310.1004733535585, -275.8761748964137, -388.3461216219193, 2.50836036509465, -40.52608639302572, 28.85461283937716, 2.2532680600819233, -90.60763468771357, -19.748220494413918, -0.003359732401987273, -0.005101990709368294, -0.006078117794805904, -0.005726932778470274, 101.3105, -0.09399999999999409, -1725, -13693, -21224, -15158, 972, 15.619923076923078, 7.5207037037037034, 8.099219373219373, -128.6955563817619, 101.27697500000001, 102.26077500000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -22.59999999999991, 2.1000000000000796, ' 31128.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-11', ' USD_JPY', 'hold', ' 101.303', ' 101.324', ' 101.40350000000001', ' 101.217', ' 101.31015305417019', -0.14350000000000307, -0.4959999999999951, -0.7955000000000041, -0.5090000000000003, -0.22650000000000148, 0.010499999999993292, -0.001414245940818519, -0.004871341583185967, -0.007789893213343231, -0.004998379700097221, -0.002230417378545664, 0.00010363870560185258, -35.94935798750234, -4.6113003646538715, -111.82144467516218, -58.98082144204352, -751.0408843323875, -299.6038956650173, -19.95464400121623, -127.54170944706836, 9.364545363025732, -35.27933761438828, 37.885445865441056, 9.098449075750187, -0.001173072562917104, -0.003158050076245737, -0.00490066095086581, -0.005876985567536314, 101.317125, -0.007499999999993179, 2986, -1725, -13693, -21224, -15158, 15.585153846153847, 7.503962962962962, 8.081190883190885, -113.55068378052496, 101.21156000000002, 102.26729, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 2.1000000000000796, -1.5000000000000568, ' 20251.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2014-07-13', ' USD_JPY', 'buy', ' 101.3815', ' 101.3665', ' 101.411', ' 101.3305', ' 101.35916148409895', -0.1629999999999967, -0.10099999999999909, -0.45349999999999113, -0.8400000000000034, -0.46649999999999636, -0.1839999999999975, -0.0016054447229622592, -0.0009953926133983697, -0.004453938322529868, -0.008218655369276937, -0.004581029725138181, -0.001811906391401298, -18.967582480770993, 40.29873030702226, -25.189867040537294, 5.181836317784932, -101.56812989912146, -48.57519314014325, -86.46692428369062, -347.71127518813427, -10.317457977901555, -115.56039547594973, 23.578587431909675, -24.401931609894167, -0.0007147152475871303, -0.0007541180761609554, -0.0027399281814156524, -0.004483269988116687, 101.36862500000001, -0.29049999999999443, -149, 2986, -1725, -13693, -21224, 15.588307692307692, 7.505481481481481, 8.082826210826212, -89.07941023817354, 101.164575, 102.25907500000001, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -1.5000000000000568, 16.899999999999693, ' 1415.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
