'2015-01-01', ' USD_JPY', 'buy', ' 119.74600000000001', ' 119.887', ' 119.9685', ' 119.7025', ' 119.87333543638276', -0.75, -0.5320000000000107, -0.49500000000000455, -0.7855000000000132, -0.269999999999996, 0.3605000000000018, -0.006216998101743246, -0.0044179074730732746, -0.0041119104185011425, -0.00650935382958017, -0.0022470600963738776, 0.0030160675666065836, -49.91180777569611, 32.91023226659496, -329.3890615350668, -107.6497534673537, -87.60192900426102, -155.63426610500798, -21.525530507365097, -56.98021352624678, 65.8256805245777, -15.51169857622513, 302.6843606145168, 115.6615035439098, 0.007864549837538749, 0.009396233087201418, 0.02796558214112705, 0.018001647320556733, 119.86125, -0.8760000000000048, 368, 10389, -9688, 12203, 990, 18.44376923076923, 8.880333333333333, 9.563435897435898, 41.29742440442462, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 14.099999999999113, 60.99999999999994, ' 951.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-02', ' USD_JPY', 'sell', ' 119.8845', ' 120.4945', ' 120.7415', ' 119.80850000000001', ' 120.35454622066642', 1.0224999999999937, -0.1424999999999983, 0.07549999999999102, 0.03450000000000841, -0.17800000000001148, 0.3375000000000057, 0.008558490692379751, -0.0011812296393312026, 0.0006269774703326802, 0.00028640212518685383, -0.001475066813068524, 0.002808825120467436, 89.83190466619435, 189.41022427068052, 57.231030470718515, 109.239151438146, 134.3510424801215, 93.8046592056781, 50.115997652901335, 93.95778692781884, 57.01356728977842, 76.09445841740127, 135.49310372785507, 80.87422289017827, 0.00820827772594735, 0.012971673329045804, 0.014511118033863497, 0.033174563024381584, 120.38475, -0.32850000000000534, 10887, 368, 10389, -9688, 12203, 18.444153846153846, 8.880518518518517, 9.563635327635328, 72.80364560729248, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 60.99999999999994, -10.999999999999943, ' 23139.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-04', ' USD_JPY', 'sell', ' 120.509', ' 120.399', ' 120.646', ' 120.345', ' 120.48131503218478', 0.5144999999999982, 0.9269999999999925, -0.23799999999999955, 0.014000000000010004, -0.06099999999999284, -0.27350000000001273, 0.004291630694543483, 0.007759140216954537, -0.0019728607309531863, 0.0001162935581676289, -0.0005063921633736745, -0.0022664650189563713, 166.76361210711144, 163.9653576762539, 84.56874706151851, 171.05812199831269, 40.387999931570036, 97.24011970006666, 92.89938079899936, 77.93168012788794, 27.95823017210377, 66.76764526167678, 44.66709183360182, 55.17490093490165, 0.007299636482286374, 0.007409204817865827, 0.012168825109393247, 0.013707049700684511, 120.44725, 0.3434999999999917, -1693, 10887, 368, 10389, -9688, 18.537615384615385, 8.925518518518517, 9.612096866096868, 75.7667835295055, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -10.999999999999943, -97.75000000000063, ' 2641.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-05', ' USD_JPY', 'sell', ' 120.402', ' 119.4245', ' 120.647', ' 119.2505', ' 119.92877503649284', -0.4625000000000057, -0.46000000000000796, -0.04750000000001364, -0.9575000000000102, -0.9604999999999961, -1.035499999999999, -0.003857799427794554, -0.0038370264713120375, -0.00039758269720113195, -0.007953846920636061, -0.007978568758566234, -0.008596214511041, -104.51123890554936, -150.49421421780656, 25.018178179173656, -40.21687086172029, 30.862494854643398, -16.21018862391077, -238.49910652557537, -350.807597320477, -195.41414336860407, -372.11849234584014, -198.14380553509076, -210.68568514309007, -0.00609619081701442, -0.0008533672449206148, -0.0007446857467984675, 0.003976410553881075, 119.68662499999999, 0.764499999999984, -31375, -1693, 10887, 368, 10389, 18.522923076923078, 8.918444444444445, 9.604478632478633, 18.332968912295925, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -97.75000000000063, -75.75000000000074, ' 41789.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-06', ' USD_JPY', 'buy', ' 119.421', ' 118.6635', ' 119.509', ' 118.053', ' 118.76053123546487', -1.831000000000003, -1.2235000000000014, -1.2210000000000036, -1.755500000000012, -1.718500000000006, -1.7214999999999918, -0.01519571432720998, -0.010205443459257479, -0.010184802872765067, -0.014578264227406074, -0.014275390008473075, -0.014299954313244939, -122.7223877039262, -241.13124280724026, -390.60135691677584, -357.32047759364497, -85.67271481124129, -199.66548647731443, -1263.3578142306749, -513.3772825298295, -486.7861380795606, -671.9468514933835, -420.5620057508961, -723.5686526870439, -0.016648366446373568, -0.012429571310868259, -0.007220156199671199, -0.007112167244704526, 118.72225, 0.7844999999999942, -10063, -31375, -1693, 10887, 368, 18.373, 8.84625925925926, 9.526740740740742, -72.41773031312113, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -75.75000000000074, 62.09999999999809, ' 62349.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-07', ' USD_JPY', 'buy', ' 118.66300000000001', ' 119.28399999999999', ' 119.648', ' 118.6445', ' 119.18310388417372', -1.115000000000009, -1.2105000000000103, -0.6030000000000086, -1.3530000000000086, -1.1350000000000193, -1.0980000000000132, -0.009260874259753063, -0.010046101689288808, -0.0050297363350489096, -0.011215464575544887, -0.009425422898379984, -0.00912096492831165, -352.49157724532324, -88.51534188287421, -56.21649986961648, -135.4364076693877, -157.33076792076406, -188.6796150119013, -156.26099536843483, -42.85328750368621, -789.6940536686664, -307.6119112316987, -284.339222075294, -410.0980903707984, -0.00976257678897561, -0.01150634983115475, -0.007265494311609017, -0.0020288387930710496, 119.215125, 0.2464999999999975, 13747, -10063, -31375, -1693, 10887, 18.25592307692308, 8.789888888888889, 9.46603418803419, -41.78635437382021, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 62.09999999999809, 52.04999999999984, ' 50075.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-08', ' USD_JPY', 'sell', ' 119.28', ' 119.8005', ' 119.963', ' 119.1605', ' 119.6671655074341', 0.3760000000000048, -0.5985000000000014, -0.6940000000000026, 0.32849999999999113, -0.8365000000000009, -0.6185000000000116, 0.0031484326917843894, -0.004970971519697019, -0.005759598985845849, 0.0027495982322217013, -0.006934025216144308, -0.005136232654315445, 39.38417190231464, 91.53385591206047, -180.89694986812157, -7.16406060445848, -0.85744899705904, -47.45674232095532, 51.58445568561843, 56.04520880446939, -65.16753700749025, 22.041999331057156, -395.41954548126284, -136.3342089343782, -0.004855256053494965, -0.005474846422048765, -0.007226170005593768, -0.0029669515716936753, 119.681125, -0.5264999999999986, 21130, 13747, -10063, -31375, -1693, 18.351384615384614, 8.835851851851851, 9.515532763532763, -17.139151671090016, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 52.04999999999984, -125.7000000000005, ' 35512.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-09', ' USD_JPY', 'sell', ' 119.80000000000001', ' 118.543', ' 119.8545', ' 118.4195', ' 119.11861989701013', -0.12049999999999272, -0.8814999999999884, -1.8559999999999945, -1.3414999999999964, -0.929000000000002, -2.093999999999994, -0.0010154765365929096, -0.00738123249416986, -0.015415410426996857, -0.011189936981010859, -0.007775880541047291, -0.017357858700067095, 33.65384384245633, -17.8025949878246, -50.662366583432, -9.041040212292971, -598.6708974515227, -205.22647339749946, -103.19998498909185, -224.9132633257744, -17.718378742441757, -185.60681849921787, -286.9488030072685, -135.95572224626736, -0.015276370221461668, -0.015300909581758398, -0.015913996347335112, -0.017646936957467583, 118.84, -0.03899999999998727, -42282, 21130, 13747, -10063, -31375, 18.430846153846154, 8.87411111111111, 9.556735042735044, -120.50091074681137, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -125.7000000000005, -10.999999999998522, ' 51073.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-11', ' USD_JPY', 'buy', ' 118.34299999999999', ' 118.233', ' 118.44', ' 118.1255', ' 118.28154595997034', -1.0509999999999877, -0.430499999999995, -1.1914999999999907, -1.6539999999999964, -1.6514999999999986, -1.2390000000000043, -0.008810905066899063, -0.0036279058008570034, -0.009977014766651656, -0.013796324872588323, -0.01377575916819938, -0.010370630775411848, -41.00647324300102, -56.5264325340898, 12.362636513555627, -48.073382104984034, -72.86071801928234, -33.834851582909245, -552.4434013370548, -474.3227198844438, -148.29088752132455, -289.86605023882936, -34.802974108405124, -245.1790876555948, -0.018153281458906042, -0.017851506039108844, -0.01787598122689693, -0.018487464718578695, 118.257875, 0.23100000000000875, -853, -42282, 21130, 13747, -10063, 18.237384615384617, 8.780962962962963, 9.456421652421653, -196.8908240606354, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -10.999999999998522, 10.249999999999204, ' 2698.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-12', ' USD_JPY', 'sell', ' 118.238', ' 118.34049999999999', ' 119.319', ' 118.09899999999999', ' 118.58316198566942', -1.460000000000008, -0.9435000000000002, -0.3230000000000075, -2.1540000000000106, -1.5465000000000089, -1.5440000000000111, -0.012186927433524968, -0.007909694510579796, -0.002721982749539728, -0.01787633460448411, -0.012899647167749705, -0.012879062764577665, -102.18067262546293, -13.107813444115791, -30.293968082315217, -45.993288934991824, 19.745877764705764, -37.57625431435746, -157.34189096014344, -296.1504720570833, -512.0298826955259, -445.10613208825436, -132.65452615934257, -267.3420999383373, -0.019036448187537892, -0.01726056519320057, -0.01695851539266679, -0.016983012833824807, 118.52475, -0.8710000000000093, -25208, -853, -42282, 21130, 13747, 18.189692307692308, 8.758, 9.431692307692309, -140.38162578104794, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', 10.249999999999204, -51.600000000000534, ' 41729.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
'2015-01-13', ' USD_JPY', 'sell', ' 118.336', ' 117.82', ' 118.8515', ' 117.5375', ' 118.18644092805451', -0.7230000000000132, -1.9805000000000064, -1.4639999999999986, -2.5790000000000077, -2.674500000000009, -2.0670000000000073, -0.006099052664434113, -0.016531650535682292, -0.012273230273967999, -0.02142044369139285, -0.022196033843868465, -0.01724123549675951, -41.77700057303168, -53.92804501878427, -167.0404776273566, -101.98525403306316, -82.16242330219981, -96.9933005008627, -838.8701531992812, -319.1025166971989, -213.1296663312289, -384.81149008972255, -707.7065008622063, -586.5687734642388, -0.01382750770054921, -0.023351044870147695, -0.021582972786686635, -0.021282251499393695, 118.00725, -0.6960000000000122, -33474, -25208, -853, -42282, 21130, 18.206230769230768, 8.765962962962963, 9.440267806267805, -169.1954541244395, ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', -51.600000000000534, -38.65000000000123, ' 58725.0', ' 0', ' 0', ' 0', ' 0', ' 0', ' '
