Date,Currency_pair,Prediction_action,Day Open,Day Close,Day High,Day Low,Day Average,Momentum_3day,Momentum_4day,Momentum_5day,Momentum_8day,Momentum_9day,Momentum_10day,Roc_3day,Roc_4day,Roc_5day,Roc_8day,Roc_9day,Roc_10day,Fast_k_3day,Fast_d_3day,Fast_k_4day,Fast_d_4day,Fast_k_5day,Fast_d_5day,Fast_k_8day,Fast_d_8day,Fast_k_9day,Fast_d_9day,Fast_k_10day,Fast_d_10day,PROC_12day,PROC_13day,PROC_14day,PROC_15day,Weighted_Close_Price,WILLIAM_A_D,ADOSC_1day,ADOSC_2day,ADOSC_3day,ADOSC_4day,ADOSC_5day,EMA_12Day,EMA_26Day,MACD,CCI,BOLLINGER_BANDS_LOW,BOLLINGER_BANDS_HIGH,HEIKIN_ASHI_XCLOSE,HEIKIN_ASHI_XOPEN,HEIKIN_ASHI_XHIGH,HEIKIN_ASHI_XLOW,2DAY_HIGH,2DAY_LOW,1DAY_HIGH_LOW_AVG,2DAY_HIGH_LOW_AVG,High_slope_3day,High_slope_4day,High_slope_5day,High_slope_8day,High_slope_10day,High_slope_12day,High_slope_15day,High_slope_20day,High_slope_25day,High_slope_30day,Pips,Prediction_Pips,Volume,Active Hour,Active Hour Volume
2005-01-02, USD_JPY,buy,102.54,102.56,102.77,102.49,102.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24,24,24,24,24,24,24,24,24,24,24,24,0.00,0.00,0.00,0.00,102.59,0.00,-337,0,0,0,0,102.56,102.56,0.00,0.00,102.49,102.77,102.59,102.55,102.77,102.49,102.77,102.49,154.01,102.63,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,15.6,676, 23, 319.
2005-01-03, USD_JPY,buy,102.57,102.78,103.47,102.36,102.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37,31,37,31,37,31,37,31,37,31,37,31,0.00,0.00,0.00,0.00,102.84,-0.69,-7809,-337,0,0,0,102.67,102.67,0.00,0.00,102.36,103.47,102.79,102.55,103.47,102.36,103.47,102.36,154.65,102.77,347.5000,347.5000,347.5000,347.5000,347.5000,347.5000,347.5000,347.5000,347.5000,347.5000,15.6,72.2,30681, 13, 2288.
2005-01-04, USD_JPY,buy,102.78,104.36,104.81,102.44,103.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81,47,81,47,81,47,81,47,81,47,81,47,0.00,0.00,0.00,0.00,103.99,-1.14,24472,-7809,-337,0,0,103.23,103.23,0.00,0.00,102.44,104.81,103.59,102.67,104.81,102.44,104.81,102.36,156.03,103.27,678.3333,678.3333,678.3333,678.3333,678.3333,678.3333,678.3333,678.3333,678.3333,678.3333,72.2,79.6,39559, 10, 2639.
2005-01-05, USD_JPY,buy,104.34,103.93,105.03,103.78,104.31,1.37,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,58,59,58,59,58,59,58,59,58,59,58,59,0.00,0.00,0.00,0.00,104.16,1.04,-27391,24472,-7809,-337,0,103.41,103.41,0.00,0.00,103.78,105.03,104.27,103.56,105.03,103.56,105.03,102.44,156.91,104.01,563.7500,563.7500,563.7500,563.7500,563.7500,563.7500,563.7500,563.7500,563.7500,563.7500,79.6,50.0,36425, 15, 2731.
2005-01-06, USD_JPY,sell,103.94,104.92,105.19,103.92,104.81,2.14,2.36,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,90,76,90,76,90,76,90,76,90,76,90,76,0.00,0.00,0.00,0.00,104.73,1.22,20722,-27391,24472,-7809,-337,103.71,103.71,0.00,0.00,103.92,105.19,104.49,104.14,105.19,103.92,105.19,103.78,157.15,104.48,430.0000,483.0000,483.0000,483.0000,483.0000,483.0000,483.0000,483.0000,483.0000,483.0000,50.0,-16.8,36158, 7, 2575.
2005-01-07, USD_JPY,buy,104.92,104.76,105.13,103.86,104.64,0.40,1.98,2.20,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,84,77,84,78,84,78,84,78,84,78,84,78,0.00,0.00,0.00,0.00,104.63,0.62,17324,20722,-27391,24472,-7809,103.88,103.88,0.00,0.00,103.86,105.13,104.67,104.43,105.13,103.86,105.19,103.86,157.06,104.53,81.2500,333.0000,393.3333,393.3333,393.3333,393.3333,393.3333,393.3333,393.3333,393.3333,-16.8,10.5,41745, 15, 3218.
2005-01-09, USD_JPY,sell,104.81,104.67,104.88,104.66,104.74,0.74,0.31,1.89,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.00,0.00,63,79,81,85,81,85,81,85,81,85,81,85,0.00,0.00,0.00,0.00,104.72,1.70,-515,17324,20722,-27391,24472,103.99,103.99,0.00,0.00,104.66,104.88,104.75,104.84,104.88,104.66,105.13,103.86,157.21,104.63,-36.2500,15.0000,235.8333,301.4286,301.4286,301.4286,301.4286,301.4286,301.4286,301.4286,10.5,-37.8,567, 23, 268.
2005-01-10, USD_JPY,sell,104.69,104.19,104.82,104.09,104.37,-0.73,0.26,-0.17,0.00,0.00,0.00,-0.01,0.00,-0.00,0.00,0.00,0.00,24,57,29,65,63,76,64,77,64,77,64,77,0.00,0.00,0.00,0.00,104.32,0.91,-21908,-515,17324,20722,-27391,104.02,104.02,0.00,0.00,104.09,104.82,104.45,104.74,104.82,104.09,104.88,104.09,156.87,104.61,-91.2500,-41.0000,2.5000,256.2500,256.2500,256.2500,256.2500,256.2500,256.2500,256.2500,-37.8,-56.3,30176, 15, 2334.
2005-01-11, USD_JPY,sell,104.19,103.45,104.31,103.12,103.80,-1.31,-1.47,-0.48,0.89,0.00,0.00,-0.01,-0.01,-0.00,0.01,0.00,0.00,16,34,15,42,15,53,38,61,38,61,38,61,0.00,0.00,0.00,0.00,103.58,0.43,-19257,-21908,-515,17324,20722,103.96,103.96,0.00,0.00,103.12,104.31,103.77,104.44,104.44,103.12,104.82,103.12,155.87,104.09,-205.0000,-175.0000,-119.1667,171.1111,171.1111,171.1111,171.1111,171.1111,171.1111,171.1111,-56.3,-91.4,43238, 17, 2805.
2005-01-12, USD_JPY,sell,103.45,102.48,103.56,102.14,102.89,-2.19,-2.28,-2.44,-0.30,-0.08,0.00,-0.02,-0.02,-0.02,-0.00,-0.00,0.00,12,17,11,18,11,30,11,38,11,38,11,38,0.00,0.00,0.00,0.00,102.67,0.67,-21789,-19257,-21908,-515,17324,103.81,103.81,0.00,0.00,102.14,103.56,102.91,103.82,103.82,102.14,104.31,102.14,154.63,103.28,-330.0000,-314.0000,-270.8333,10.5556,79.0000,79.0000,79.0000,79.0000,79.0000,79.0000,-91.4,-38.1,41769, 15, 2959.
2005-01-13, USD_JPY,buy,102.48,102.50,102.84,102.24,102.51,-1.69,-2.17,-2.26,-1.85,-0.27,-0.06,-0.02,-0.02,-0.02,-0.02,-0.00,-0.00,13,14,13,13,12,13,11,20,11,20,11,20,0.00,0.00,0.00,0.00,102.52,-0.72,-5203,-21789,-19257,-21908,-515,103.69,103.69,0.00,0.00,102.24,102.84,102.52,102.97,102.97,102.24,103.56,102.14,153.96,102.70,-494.8750,-407.9000,-381.5833,-218.2778,6.4091,6.4091,6.4091,6.4091,6.4091,6.4091,-38.1,7.5,42512, 14, 2818.
2005-01-14, USD_JPY,sell,102.50,102.03,103.20,101.78,102.58,-1.42,-2.16,-2.64,-1.90,-2.33,-0.75,-0.01,-0.02,-0.03,-0.02,-0.02,-0.01,9,11,8,10,7,10,7,10,7,10,7,10,0.00,0.00,0.00,0.00,102.26,-0.81,-30743,-5203,-21789,-19257,-21908,103.55,103.55,0.00,0.00,101.78,103.20,102.38,102.49,103.20,101.78,103.20,101.78,154.10,102.52,-276.2500,-323.0000,-279.1667,-202.2222,-23.6364,36.2500,36.2500,36.2500,36.2500,36.2500,7.5,-55.9,47067, 15, 2902.
2005-01-16, USD_JPY,buy,101.98,102.03,102.09,101.88,102.02,-0.45,-1.42,-2.16,-2.89,-1.90,-2.33,-0.00,-0.01,-0.02,-0.03,-0.02,-0.02,13,12,9,10,8,9,7,8,7,8,7,8,-0.01,0.00,0.00,0.00,102.01,0.25,785,-30743,-5203,-21789,-19257,103.32,103.43,-0.12,0.00,101.88,102.09,102.00,102.27,102.27,101.88,103.20,101.78,153.03,102.24,-367.5000,-444.0000,-455.0000,-343.8889,-246.8182,-52.3077,-52.3077,-52.3077,-52.3077,-52.3077,-55.9,5.1,1834, 23, 1200.
2005-01-17, USD_JPY,buy,102.03,102.25,102.35,101.69,102.07,-0.25,-0.23,-1.20,-2.51,-2.66,-1.68,-0.00,-0.00,-0.01,-0.02,-0.03,-0.02,37,20,30,15,21,12,16,10,16,10,16,10,-0.01,-0.00,0.00,0.00,102.14,-0.10,13648,785,-30743,-5203,-21789,103.15,103.35,-0.20,0.00,101.69,102.35,102.08,102.00,102.35,101.69,102.35,101.69,153.20,102.00,-121.7500,-241.3000,-326.0833,-308.5000,-242.8636,-85.5000,-29.7500,-29.7500,-29.7500,-29.7500,5.1,43.6,19582, 23, 1710.
2005-01-18, USD_JPY,buy,102.25,102.25,103.00,102.15,102.51,0.22,-0.25,-0.23,-2.42,-2.51,-2.66,0.00,-0.00,-0.00,-0.02,-0.02,-0.03,36,29,36,25,29,19,17,13,16,13,15,13,-0.02,-0.01,-0.00,0.00,102.41,0.46,-22117,13648,785,-30743,-5203,103.01,103.28,-0.26,0.00,102.15,103.00,102.41,102.14,103.00,102.14,103.00,101.69,154.08,102.30,-51.6250,31.6000,-93.5833,-209.0556,-198.7727,-138.9615,15.2333,15.2333,15.2333,15.2333,43.6,3.5,28709, 1, 1991.
